Datetime,Close,High,Low,Open,Volume
2025-02-06 10:10:00+00:00,109.578125,109.59375,109.578125,109.578125,0.0
2025-02-06 10:11:00+00:00,109.59375,109.59375,109.578125,109.59375,1000.0
2025-02-06 10:12:00+00:00,109.59375,109.59375,109.578125,109.578125,610.0
2025-02-06 10:13:00+00:00,109.59375,109.59375,109.59375,109.59375,25.0
2025-02-06 10:14:00+00:00,109.59375,109.59375,109.578125,109.578125,868.0
2025-02-06 10:15:00+00:00,109.59375,109.59375,109.59375,109.59375,1.0
2025-02-06 10:16:00+00:00,109.59375,109.59375,109.578125,109.578125,154.0
2025-02-06 10:17:00+00:00,109.59375,109.59375,109.578125,109.59375,108.0
2025-02-06 10:18:00+00:00,109.609375,109.609375,109.59375,109.609375,171.0
2025-02-06 10:19:00+00:00,109.59375,109.59375,109.578125,109.59375,247.0
2025-02-06 10:20:00+00:00,109.59375,109.59375,109.578125,109.578125,171.0
2025-02-06 10:21:00+00:00,109.578125,109.59375,109.578125,109.578125,662.0
2025-02-06 10:22:00+00:00,109.59375,109.59375,109.578125,109.578125,616.0
2025-02-06 10:23:00+00:00,109.59375,109.59375,109.59375,109.59375,16.0
2025-02-06 10:24:00+00:00,109.609375,109.609375,109.59375,109.59375,516.0
2025-02-06 10:25:00+00:00,109.59375,109.609375,109.59375,109.609375,1095.0
2025-02-06 10:26:00+00:00,109.609375,109.609375,109.609375,109.609375,154.0
2025-02-06 10:27:00+00:00,109.609375,109.625,109.609375,109.609375,821.0
2025-02-06 10:28:00+00:00,109.609375,109.625,109.609375,109.609375,1601.0
2025-02-06 10:29:00+00:00,109.609375,109.609375,109.609375,109.609375,2266.0
2025-02-06 10:30:00+00:00,109.59375,109.609375,109.59375,109.609375,148.0
2025-02-06 10:31:00+00:00,109.59375,109.609375,109.59375,109.59375,151.0
2025-02-06 10:32:00+00:00,109.59375,109.59375,109.59375,109.59375,2270.0
2025-02-06 10:33:00+00:00,109.59375,109.59375,109.59375,109.59375,2052.0
2025-02-06 10:34:00+00:00,109.59375,109.59375,109.59375,109.59375,142.0
2025-02-06 10:35:00+00:00,109.609375,109.609375,109.609375,109.609375,871.0
2025-02-06 10:36:00+00:00,109.578125,109.609375,109.578125,109.609375,1422.0
2025-02-06 10:37:00+00:00,109.578125,109.59375,109.578125,109.59375,1571.0
2025-02-06 10:38:00+00:00,109.578125,109.578125,109.578125,109.578125,98.0
2025-02-06 10:39:00+00:00,109.578125,109.578125,109.578125,109.578125,91.0
2025-02-06 10:40:00+00:00,109.59375,109.59375,109.578125,109.578125,608.0
2025-02-06 10:41:00+00:00,109.578125,109.59375,109.5625,109.59375,1321.0
2025-02-06 10:42:00+00:00,109.578125,109.59375,109.578125,109.59375,164.0
2025-02-06 10:43:00+00:00,109.578125,109.59375,109.578125,109.578125,155.0
2025-02-06 10:44:00+00:00,109.578125,109.59375,109.578125,109.59375,1320.0
2025-02-06 10:45:00+00:00,109.5625,109.578125,109.5625,109.578125,1309.0
2025-02-06 10:46:00+00:00,109.5625,109.578125,109.5625,109.578125,141.0
2025-02-06 10:47:00+00:00,109.5625,109.5625,109.546875,109.5625,602.0
2025-02-06 10:48:00+00:00,109.5625,109.5625,109.5625,109.5625,23.0
2025-02-06 10:49:00+00:00,109.5625,109.5625,109.5625,109.5625,389.0
