Datetime,Close,High,Low,Open,Volume
2025-02-14 00:40:00+00:00,22098.75,22101.25,22095.5,22095.5,0.0
2025-02-14 00:41:00+00:00,22096.75,22100.75,22096.75,22098.5,53.0
2025-02-14 00:42:00+00:00,22100.0,22100.0,22095.0,22097.25,67.0
2025-02-14 00:43:00+00:00,22098.25,22100.0,22098.25,22099.0,11.0
2025-02-14 00:44:00+00:00,22101.25,22101.5,22097.75,22098.0,43.0
2025-02-14 00:45:00+00:00,22098.5,22101.25,22097.75,22100.5,51.0
2025-02-14 00:46:00+00:00,22095.5,22097.25,22094.5,22097.0,64.0
2025-02-14 00:47:00+00:00,22095.5,22096.0,22094.25,22094.5,47.0
2025-02-14 00:48:00+00:00,22095.0,22096.75,22093.75,22095.75,54.0
2025-02-14 00:49:00+00:00,22096.0,22096.75,22094.5,22094.5,19.0
2025-02-14 00:50:00+00:00,22095.25,22096.0,22095.25,22095.75,4.0
2025-02-14 00:51:00+00:00,22094.5,22094.5,22092.5,22092.5,104.0
2025-02-14 00:52:00+00:00,22099.5,22099.5,22094.75,22095.5,39.0
2025-02-14 00:53:00+00:00,22099.5,22102.0,22099.0,22099.5,140.0
2025-02-14 00:54:00+00:00,22098.5,22099.25,22096.75,22099.0,43.0
2025-02-14 00:55:00+00:00,22095.5,22098.75,22092.75,22098.75,51.0
2025-02-14 00:56:00+00:00,22095.25,22095.25,22093.75,22095.25,22.0
2025-02-14 00:57:00+00:00,22096.0,22096.25,22095.0,22095.0,20.0
2025-02-14 00:58:00+00:00,22094.0,22096.25,22093.5,22096.25,25.0
2025-02-14 00:59:00+00:00,22096.25,22097.25,22094.75,22095.0,45.0
2025-02-14 01:00:00+00:00,22096.75,22097.5,22094.25,22096.25,94.0
2025-02-14 01:01:00+00:00,22098.25,22100.0,22096.0,22096.5,55.0
2025-02-14 01:02:00+00:00,22096.75,22098.25,22096.25,22098.25,30.0
2025-02-14 01:03:00+00:00,22097.5,22099.25,22094.25,22096.5,99.0
