Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZF)"
count,88.0
mean,4.643488103693182
std,2.5875859424182965
min,0.875
10%,1.7125000000000001
25%,2.71875
50%,4.375
75%,6.15625
95%,9.35624999999999
99%,12.673749999999998
max,13.0
skewness,0.9474966398468585
kurtosis,1.0069282730509603
