Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,105.0
mean,3.0690476190476192
std,2.3652368249490867
min,1.25
10%,1.75
25%,2.0
50%,2.5
75%,3.5
95%,5.75
99%,9.359999999999978
max,23.25
skewness,6.325551198721033
kurtosis,51.614661814700966
