"(Vol Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3305.0
mean,78.9715582450832
std,43.437715723069594
min,16.99999999999875
5%,34.00000000000034
25%,50.99999999999909
50%,68.00000000000068
68%,85.99999999999852
90%,130.00000000000114
95%,160.80000000000126
99%,235.9999999999999
99.7%,325.08800000000014
max,469.0000000000026
