Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.4085858016595014,-1.4085858016595014
2024-10-14,4.0,-0.20273667132663134,-0.20273667132663134
2024-10-16,2.75,-0.7051738089653272,-0.7051738089653272
2024-10-17,4.5,-0.0017618162711529977,-0.0017618162711529977
2024-10-18,3.125,-0.5544426676737184,-0.5544426676737184
2024-10-20,1.125,-1.3583420878956318,-1.3583420878956318
2024-10-21,8.25,1.5055495966449346,1.5055495966449346
2024-10-22,4.5,-0.0017618162711529977,-0.0017618162711529977
2024-10-23,3.25,-0.5041989539098488,-0.5041989539098488
2024-10-24,3.125,-0.5544426676737184,-0.5544426676737184
2024-10-27,3.375,-0.45395524014597927,-0.45395524014597927
2024-10-28,4.75,0.09872561125658617,0.09872561125658617
2024-10-29,6.75,0.9026250314784996,0.9026250314784996
2024-11-03,2.5,-0.8056612364930664,-0.8056612364930664
2024-11-04,4.75,0.09872561125658617,0.09872561125658617
2024-11-05,13.0,3.414810719671979,3.414810719671979
2024-11-06,6.25,0.7016501764230212,0.7016501764230212
2024-11-07,8.625,1.6562807379365434,1.6562807379365434
2024-11-10,2.0,-1.0066360915485446,-1.0066360915485446
2024-11-11,4.125,-0.15249295756276177,-0.15249295756276177
2024-11-15,8.25,1.5055495966449346,1.5055495966449346
2024-11-17,1.5,-1.207610946604023,-1.207610946604023
2024-11-18,5.375,0.3499441800759341,0.3499441800759341
2024-11-19,5.0,0.19921303878432534,0.19921303878432534
2024-11-20,2.75,-0.7051738089653272,-0.7051738089653272
2024-11-21,4.75,0.09872561125658617,0.09872561125658617
2024-11-24,2.0,-1.0066360915485446,-1.0066360915485446
2024-11-25,7.125,1.0533561727701084,1.0533561727701084
2024-11-26,3.875,-0.2529803850905009,-0.2529803850905009
2024-11-28,1.875,-1.0568798053124142,-1.0568798053124142
2024-11-29,6.375,0.7518938901868908,0.7518938901868908
2024-12-01,2.125,-0.9563923777846751,-0.9563923777846751
2024-12-02,7.5,1.204087314061717,1.204087314061717
2024-12-03,7.5,1.204087314061717,1.204087314061717
2024-12-04,6.125,0.6514064626591516,0.6514064626591516
2024-12-05,5.375,0.3499441800759341,0.3499441800759341
2024-12-08,1.0,-1.4085858016595014,-1.4085858016595014
2024-12-10,7.0,1.0031124590062388,1.0031124590062388
2024-12-13,7.875,1.3548184553533258,1.3548184553533258
2024-12-15,1.5,-1.207610946604023,-1.207610946604023
2024-12-16,3.125,-0.5544426676737184,-0.5544426676737184
2024-12-17,4.375,-0.05200553003502258,-0.05200553003502258
2024-12-18,12.625,3.26407957838037,3.26407957838037
2024-12-22,1.25,-1.3080983741317622,-1.3080983741317622
2024-12-23,4.75,0.09872561125658617,0.09872561125658617
2024-12-24,2.75,-0.7051738089653272,-0.7051738089653272
2024-12-25,2.0,-1.0066360915485446,-1.0066360915485446
2024-12-26,4.375,-0.05200553003502258,-0.05200553003502258
2024-12-27,3.375,-0.45395524014597927,-0.45395524014597927
2024-12-29,0.875,-1.458829515423371,-1.458829515423371
2024-12-30,6.875,0.9528687452423691,0.9528687452423691
2024-12-31,4.0,-0.20273667132663134,-0.20273667132663134
2025-01-01,2.0,-1.0066360915485446,-1.0066360915485446
2025-01-02,5.5,0.4001878938398037,0.4001878938398037
2025-01-03,4.625,0.048481897492716586,0.048481897492716586
2025-01-05,1.875,-1.0568798053124142,-1.0568798053124142
2025-01-06,4.375,-0.05200553003502258,-0.05200553003502258
2025-01-07,5.125,0.24945675254819494,0.24945675254819494
2025-01-08,4.625,0.048481897492716586,0.048481897492716586
2025-01-09,2.5,-0.8056612364930664,-0.8056612364930664
2025-01-12,2.625,-0.7554175227291968,-0.7554175227291968
2025-01-16,7.75,1.3045747415894562,1.3045747415894562
2025-01-17,4.751953125,0.09951066928414663,0.09951066928414663
2025-01-19,1.25,-1.3080983741317622,-1.3080983741317622
2025-01-20,7.875,1.3548184553533258,1.3548184553533258
2025-01-21,5.25,0.29970046631206454,0.29970046631206454
2025-01-22,3.875,-0.2529803850905009,-0.2529803850905009
2025-01-23,3.75,-0.3032240988543705,-0.3032240988543705
2025-01-26,2.125,-0.9563923777846751,-0.9563923777846751
2025-01-27,7.0,1.0031124590062388,1.0031124590062388
2025-01-28,4.375,-0.05200553003502258,-0.05200553003502258
2025-01-29,6.0,0.601162748895282,0.601162748895282
2025-02-02,5.5,0.4001878938398037,0.4001878938398037
2025-02-03,4.75,0.09872561125658617,0.09872561125658617
2025-02-04,5.75,0.5006753213675429,0.5006753213675429
2025-02-05,6.375,0.7518938901868908,0.7518938901868908
2025-02-06,2.625,-0.7554175227291968,-0.7554175227291968
2025-02-07,10.5,2.409936444394587,2.409936444394587
2025-02-09,1.625,-1.1573672328401534,-1.1573672328401534
2025-02-10,3.75,-0.3032240988543705,-0.3032240988543705
2025-02-11,3.625,-0.3534678126182401,-0.3534678126182401
2025-02-14,6.625,0.85238131771463,0.85238131771463
2025-02-16,1.5,-1.207610946604023,-1.207610946604023
2025-02-17,2.125,-0.9563923777846751,-0.9563923777846751
2025-02-18,3.75,-0.3032240988543705,-0.3032240988543705
2025-02-19,4.625,0.048481897492716586,0.048481897492716586
