Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.6920069202593767,-0.6920069202593767
2024-11-04,3.5,-0.1328094089386682,-0.1328094089386682
2024-11-05,10.0,3.5019744146459377,3.5019744146459377
2024-11-06,5.0,0.7059868580423947,0.7059868580423947
2024-11-07,5.5,0.985585613702749,0.985585613702749
2024-11-10,3.0,-0.41240816459902246,-0.41240816459902246
2024-11-11,5.25,0.8457862358725718,0.8457862358725718
2024-11-17,3.25,-0.2726087867688453,-0.2726087867688453
2024-11-18,7.75,2.243780014174343,2.243780014174343
2024-11-19,3.5,-0.1328094089386682,-0.1328094089386682
2024-11-20,3.5,-0.1328094089386682,-0.1328094089386682
2024-11-21,4.25,0.28658872455186324,0.28658872455186324
2024-11-24,3.25,-0.2726087867688453,-0.2726087867688453
2024-11-25,2.5,-0.6920069202593767,-0.6920069202593767
2024-11-26,7.0,1.824381880683812,1.824381880683812
2024-12-01,5.5,0.985585613702749,0.985585613702749
2024-12-02,4.75,0.5661874802122175,0.5661874802122175
2024-12-03,6.0,1.2651843693631033,1.2651843693631033
2024-12-04,5.25,0.8457862358725718,0.8457862358725718
2024-12-05,4.0,0.1467893467216861,0.1467893467216861
2024-12-08,5.25,0.8457862358725718,0.8457862358725718
2024-12-10,2.0,-0.971605675919731,-0.971605675919731
2024-12-15,1.75,-1.1114050537499083,-1.1114050537499083
2024-12-16,3.25,-0.2726087867688453,-0.2726087867688453
2024-12-17,2.75,-0.5522075424291997,-0.5522075424291997
2024-12-18,3.75,0.006989968891508956,0.006989968891508956
2024-12-22,3.0,-0.41240816459902246,-0.41240816459902246
2024-12-23,0.5,-1.8104019429007938,-1.8104019429007938
2024-12-25,1.5,-1.2512044315800854,-1.2512044315800854
2024-12-26,3.75,0.006989968891508956,0.006989968891508956
2024-12-29,4.0,0.1467893467216861,0.1467893467216861
2024-12-30,1.5,-1.2512044315800854,-1.2512044315800854
2025-01-01,5.25,0.8457862358725718,0.8457862358725718
2025-01-02,2.75,-0.5522075424291997,-0.5522075424291997
2025-01-05,2.25,-0.8318062980895539,-0.8318062980895539
2025-01-06,2.5,-0.6920069202593767,-0.6920069202593767
2025-01-07,2.25,-0.8318062980895539,-0.8318062980895539
2025-01-08,2.75,-0.5522075424291997,-0.5522075424291997
2025-01-09,2.25,-0.8318062980895539,-0.8318062980895539
2025-01-12,2.0,-0.971605675919731,-0.971605675919731
2025-01-13,3.25,-0.2726087867688453,-0.2726087867688453
2025-01-14,2.25,-0.8318062980895539,-0.8318062980895539
2025-01-15,2.75,-0.5522075424291997,-0.5522075424291997
2025-01-16,2.5,-0.6920069202593767,-0.6920069202593767
2025-01-19,2.5,-0.6920069202593767,-0.6920069202593767
2025-01-20,5.75,1.1253849915329261,1.1253849915329261
2025-01-21,4.5,0.4263881023820404,0.4263881023820404
2025-01-22,3.25,-0.2726087867688453,-0.2726087867688453
2025-01-23,3.5,-0.1328094089386682,-0.1328094089386682
2025-01-26,9.0,2.942776903325229,2.942776903325229
2025-01-27,3.75,0.006989968891508956,0.006989968891508956
2025-01-28,1.75,-1.1114050537499083,-1.1114050537499083
2025-01-29,3.25,-0.2726087867688453,-0.2726087867688453
2025-01-30,3.5,-0.1328094089386682,-0.1328094089386682
2025-02-02,5.75,1.1253849915329261,1.1253849915329261
2025-02-03,4.5,0.4263881023820404,0.4263881023820404
2025-02-04,4.0,0.1467893467216861,0.1467893467216861
2025-02-05,3.5,-0.1328094089386682,-0.1328094089386682
2025-02-06,3.0,-0.41240816459902246,-0.41240816459902246
2025-02-09,1.75,-1.1114050537499083,-1.1114050537499083
