Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)"
count,107.0
mean,1.1617989981308452
std,1.3551296211754023
min,0.3125
10%,0.4374992000000475
25%,0.4375
50%,0.625
75%,1.0
95%,4.362499760000011
99%,5.998749999999998
max,7.8125
skewness,2.6438013826559557
kurtosis,7.27286959494579
