Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.9939505546097938,-0.9939505546097938
2024-10-16,7.0,-0.8728308545316178,-0.8728308545316178
2024-10-17,6.0,-1.1150702546879698,-1.1150702546879698
2024-10-18,6.0,-1.1150702546879698,-1.1150702546879698
2024-10-21,10.0,-0.1461126540625615,-0.1461126540625615
2024-10-22,5.5,-1.236189954766146,-1.236189954766146
2024-10-23,9.0,-0.38835205421891356,-0.38835205421891356
2024-10-24,15.0,1.065084346719199,1.065084346719199
2024-10-28,11.5,0.21724644617196665,0.21724644617196665
2024-10-29,14.5,0.9439646466410229,0.9439646466410229
2024-11-04,15.0,1.065084346719199,1.065084346719199
2024-11-05,17.5,1.6706828471100792,1.6706828471100792
2024-11-06,17.0,1.5495631470319031,1.5495631470319031
2024-11-07,7.5,-0.7517111544534417,-0.7517111544534417
2024-11-11,6.5,-0.9939505546097938,-0.9939505546097938
2024-11-15,17.5,1.6706828471100792,1.6706828471100792
2024-11-18,15.0,1.065084346719199,1.065084346719199
2024-11-19,7.0,-0.8728308545316178,-0.8728308545316178
2024-11-20,9.0,-0.38835205421891356,-0.38835205421891356
2024-11-21,14.5,0.9439646466410229,0.9439646466410229
2024-11-25,11.0,0.0961267460937906,0.0961267460937906
2024-11-26,7.0,-0.8728308545316178,-0.8728308545316178
2024-11-28,4.0,-1.5995490550006741,-1.5995490550006741
2024-11-29,10.0,-0.1461126540625615,-0.1461126540625615
2024-12-02,17.0,1.5495631470319031,1.5495631470319031
2024-12-03,10.5,-0.024992953984385443,-0.024992953984385443
2024-12-04,15.0,1.065084346719199,1.065084346719199
2024-12-05,10.0,-0.1461126540625615,-0.1461126540625615
2024-12-10,6.5,-0.9939505546097938,-0.9939505546097938
2024-12-13,10.0,-0.1461126540625615,-0.1461126540625615
2024-12-16,7.5,-0.7517111544534417,-0.7517111544534417
2024-12-17,7.0,-0.8728308545316178,-0.8728308545316178
2024-12-18,22.5,2.8818798478918395,2.8818798478918395
2024-12-23,9.5,-0.26723235414073754,-0.26723235414073754
2024-12-24,12.0,0.33836614625014266,0.33836614625014266
2024-12-26,12.5,0.45948584632831874,0.45948584632831874
2024-12-27,9.0,-0.38835205421891356,-0.38835205421891356
2024-12-30,5.5,-1.236189954766146,-1.236189954766146
2024-12-31,14.5,0.9439646466410229,0.9439646466410229
2025-01-02,15.0,1.065084346719199,1.065084346719199
2025-01-03,9.0,-0.38835205421891356,-0.38835205421891356
2025-01-06,9.0,-0.38835205421891356,-0.38835205421891356
2025-01-07,13.0,0.5806055464064948,0.5806055464064948
2025-01-08,10.0,-0.1461126540625615,-0.1461126540625615
2025-01-09,9.0,-0.38835205421891356,-0.38835205421891356
2025-01-10,10.5,-0.024992953984385443,-0.024992953984385443
2025-01-13,9.0,-0.38835205421891356,-0.38835205421891356
2025-01-14,6.5,-0.9939505546097938,-0.9939505546097938
2025-01-15,10.5,-0.024992953984385443,-0.024992953984385443
2025-01-16,17.5,1.6706828471100792,1.6706828471100792
2025-01-17,7.0,-0.8728308545316178,-0.8728308545316178
2025-01-20,4.5,-1.478429354922498,-1.478429354922498
2025-01-21,8.5,-0.5094717542970896,-0.5094717542970896
2025-01-22,10.0,-0.1461126540625615,-0.1461126540625615
2025-01-23,6.5,-0.9939505546097938,-0.9939505546097938
2025-01-24,9.5,-0.26723235414073754,-0.26723235414073754
2025-01-27,9.0,-0.38835205421891356,-0.38835205421891356
2025-01-28,7.0,-0.8728308545316178,-0.8728308545316178
2025-01-29,15.0,1.065084346719199,1.065084346719199
2025-01-30,8.0,-0.6305914543752656,-0.6305914543752656
2025-01-31,14.5,0.9439646466410229,0.9439646466410229
2025-02-03,21.0,2.5185207476573117,2.5185207476573117
2025-02-04,10.0,-0.1461126540625615,-0.1461126540625615
