Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)"
count,438.0
mean,3.4240867579908674
std,2.449274111260251
min,1.0
10%,1.75
25%,2.0
50%,2.75
75%,3.75
95%,8.787499999999994
99%,12.564999999999998
max,23.25
skewness,3.5867516356631626
kurtosis,19.011520832600844
