Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZN)"
count,139.0
mean,8.302158273381295
std,5.358816622908122
min,1.5
10%,3.2
25%,4.875
50%,7.5
75%,10.0
95%,17.324999999999996
99%,29.17500000000004
max,38.25
skewness,2.381410864060865
kurtosis,9.29403657802142
