Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)"
count,113.0
mean,2.5508849557522124
std,2.4250849791892874
min,0.5
10%,1.0250000000000001
25%,1.25
50%,1.75
75%,2.5
95%,6.625
99%,12.954999999999998
max,15.5
skewness,3.0558288027572447
kurtosis,11.327167830256418
