Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.3368467904537434,-0.3368467904537434
2024-10-14,0.875,0.20591716351555275,0.20591716351555275
2024-10-16,0.5,-0.3368467904537434,-0.3368467904537434
2024-10-17,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-10-20,0.375,-0.5177681084435087,-0.5177681084435087
2024-10-21,0.75,0.024995845525787368,0.024995845525787368
2024-10-22,0.9374992000000475,0.29637666461406903,0.29637666461406903
2024-10-23,0.875,0.20591716351555275,0.20591716351555275
2024-10-24,0.5,-0.3368467904537434,-0.3368467904537434
2024-10-27,1.0,0.38683848150531813,0.38683848150531813
2024-10-28,0.5625007999999525,-0.2463849735624943,-0.2463849735624943
2024-10-29,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-11-03,1.1874992000000475,0.6582193005935998,0.6582193005935998
2024-11-04,0.4375007999999525,-0.4273062915522597,-0.4273062915522597
2024-11-05,4.1874992000000475,5.000330932347969,5.000330932347969
2024-11-06,0.875,0.20591716351555275,0.20591716351555275
2024-11-07,0.5624992000000475,-0.2463872893552271,-0.2463872893552271
2024-11-10,0.75,0.024995845525787368,0.024995845525787368
2024-11-11,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-11-17,0.8124992000000475,0.11545534662430366,0.11545534662430366
2024-11-18,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-11-19,0.5,-0.3368467904537434,-0.3368467904537434
2024-11-20,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-11-21,0.4374992000000475,-0.4273086073449925,-0.4273086073449925
2024-11-24,0.875,0.20591716351555275,0.20591716351555275
2024-11-25,0.875,0.20591716351555275,0.20591716351555275
2024-11-26,0.375,-0.5177681084435087,-0.5177681084435087
2024-11-28,0.5,-0.3368467904537434,-0.3368467904537434
2024-12-01,3.875,4.548028795269922,4.548028795269922
2024-12-02,3.6875,4.276646818285274,4.276646818285274
2024-12-03,0.6875,-0.06546481346909533,-0.06546481346909533
2024-12-04,0.5625,-0.2463861314588607,-0.2463861314588607
2024-12-05,0.4375,-0.4273074494486261,-0.4273074494486261
2024-12-10,0.5625,-0.2463861314588607,-0.2463861314588607
2024-12-15,0.4375,-0.4273074494486261,-0.4273074494486261
2024-12-16,0.5,-0.3368467904537434,-0.3368467904537434
2024-12-17,0.4375,-0.4273074494486261,-0.4273074494486261
2024-12-18,0.9375,0.29637782251043543,0.29637782251043543
2024-12-22,0.4375,-0.4273074494486261,-0.4273074494486261
2024-12-23,0.375,-0.5177681084435087,-0.5177681084435087
2024-12-25,0.75,0.024995845525787368,0.024995845525787368
2024-12-26,0.4375,-0.4273074494486261,-0.4273074494486261
2024-12-29,0.375,-0.5177681084435087,-0.5177681084435087
2024-12-30,0.4375,-0.4273074494486261,-0.4273074494486261
2025-01-01,0.8125,0.11545650452067005,0.11545650452067005
2025-01-02,0.4375,-0.4273074494486261,-0.4273074494486261
2025-01-05,0.5625,-0.2463861314588607,-0.2463861314588607
2025-01-06,0.6875,-0.06546481346909533,-0.06546481346909533
2025-01-07,0.4375,-0.4273074494486261,-0.4273074494486261
2025-01-08,0.6875,-0.06546481346909533,-0.06546481346909533
2025-01-09,0.625,-0.155925472463978,-0.155925472463978
2025-01-12,1.0,0.38683848150531813,0.38683848150531813
2025-01-16,0.375,-0.5177681084435087,-0.5177681084435087
2025-01-19,0.6875,-0.06546481346909533,-0.06546481346909533
2025-01-20,1.0625,0.47729914050020084,0.47729914050020084
2025-01-21,0.5625,-0.2463861314588607,-0.2463861314588607
2025-01-22,0.375,-0.5177681084435087,-0.5177681084435087
2025-01-23,1.0625,0.47729914050020084,0.47729914050020084
2025-01-26,0.6875,-0.06546481346909533,-0.06546481346909533
2025-01-27,0.75,0.024995845525787368,0.024995845525787368
2025-01-28,0.5,-0.3368467904537434,-0.3368467904537434
2025-01-29,0.375,-0.5177681084435087,-0.5177681084435087
2025-02-02,1.5625,1.2009844124592624,1.2009844124592624
2025-02-03,0.375,-0.5177681084435087,-0.5177681084435087
2025-02-04,0.4375,-0.4273074494486261,-0.4273074494486261
2025-02-05,0.5,-0.3368467904537434,-0.3368467904537434
2025-02-06,0.4375,-0.4273074494486261,-0.4273074494486261
2025-02-09,0.5625,-0.2463861314588607,-0.2463861314588607
2025-02-10,0.375,-0.5177681084435087,-0.5177681084435087
2025-02-11,0.4375,-0.4273074494486261,-0.4273074494486261
2025-02-16,0.4375,-0.4273074494486261,-0.4273074494486261
2025-02-17,0.5,-0.3368467904537434,-0.3368467904537434
2025-02-18,0.3125,-0.6082287674383915,-0.6082287674383915
2025-02-19,0.5,-0.3368467904537434,-0.3368467904537434
2025-02-20,0.6875,-0.06546481346909533,-0.06546481346909533
2025-02-23,0.5,-0.3368467904537434,-0.3368467904537434
