Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,5.75,0.3991917324830485,0.3991917324830485
2022-12-21,4.75,0.012998904056947596,0.012998904056947596
2022-12-27,3.75,-0.3731939243691533,-0.3731939243691533
2022-12-28,3.25,-0.5662903385822038,-0.5662903385822038
2022-12-29,4.75,0.012998904056947596,0.012998904056947596
2022-12-30,3.75,-0.3731939243691533,-0.3731939243691533
2023-01-03,8.5,1.461222010654826,1.461222010654826
2023-01-04,6.25,0.592288146696099,0.592288146696099
2023-01-05,3.75,-0.3731939243691533,-0.3731939243691533
2023-01-10,4.75,0.012998904056947596,0.012998904056947596
2023-01-11,3.75,-0.3731939243691533,-0.3731939243691533
2023-01-17,3.0,-0.662838545688729,-0.662838545688729
2023-01-19,8.0,1.2681255964417755,1.2681255964417755
2023-01-20,4.5,-0.08354930304957763,-0.08354930304957763
2023-01-23,5.0,0.10954711116347282,0.10954711116347282
2023-01-24,3.75,-0.3731939243691533,-0.3731939243691533
2023-01-25,5.0,0.10954711116347282,0.10954711116347282
2023-01-30,8.0,1.2681255964417755,1.2681255964417755
2023-01-31,4.25,-0.18009751015610284,-0.18009751015610284
2023-02-01,5.75,0.3991917324830485,0.3991917324830485
2023-02-02,4.0,-0.2766457172626281,-0.2766457172626281
2023-02-06,10.0,2.0405112532939773,2.0405112532939773
2023-02-07,4.5,-0.08354930304957763,-0.08354930304957763
2023-02-08,3.25,-0.5662903385822038,-0.5662903385822038
2023-02-09,5.25,0.20609531826999805,0.20609531826999805
2023-02-15,3.75,-0.3731939243691533,-0.3731939243691533
2023-02-17,5.0,0.10954711116347282,0.10954711116347282
2023-02-21,4.75,0.012998904056947596,0.012998904056947596
2023-02-22,5.0,0.10954711116347282,0.10954711116347282
2023-02-27,10.0,2.0405112532939773,2.0405112532939773
2023-02-28,11.75,2.716348703039654,2.716348703039654
2023-03-01,12.5,3.0059933243592294,3.0059933243592294
2023-03-02,11.0,2.4267040817200782,2.4267040817200782
2023-03-03,12.0,2.812896910146179,2.812896910146179
2023-03-06,10.5,2.2336076675070275,2.2336076675070275
2023-03-07,4.25,-0.18009751015610284,-0.18009751015610284
2023-03-08,4.25,-0.18009751015610284,-0.18009751015610284
2023-03-09,3.5,-0.4697421314756785,-0.4697421314756785
2023-03-16,8.75,1.5577702177613513,1.5577702177613513
2023-03-20,21.75,6.578276987300662,6.578276987300662
2023-03-21,14.25,3.6818307741049057,3.6818307741049057
2023-03-22,5.25,0.20609531826999805,0.20609531826999805
2023-03-23,7.5,1.075029182228725,1.075029182228725
2023-03-24,18.0,5.130053880702784,5.130053880702784
2023-03-27,12.75,3.1025415314657545,3.1025415314657545
2023-03-28,9.5,1.8474148390809269,1.8474148390809269
2023-03-29,6.25,0.592288146696099,0.592288146696099
2023-04-03,4.5,-0.08354930304957763,-0.08354930304957763
2023-04-04,5.75,0.3991917324830485,0.3991917324830485
2023-04-05,4.0,-0.2766457172626281,-0.2766457172626281
2023-04-06,4.25,-0.18009751015610284,-0.18009751015610284
2023-04-11,5.25,0.20609531826999805,0.20609531826999805
2023-04-17,5.25,0.20609531826999805,0.20609531826999805
2023-04-18,4.0,-0.2766457172626281,-0.2766457172626281
2023-04-19,8.0,1.2681255964417755,1.2681255964417755
2023-04-20,6.25,0.592288146696099,0.592288146696099
2023-04-21,4.75,0.012998904056947596,0.012998904056947596
2023-04-24,4.0,-0.2766457172626281,-0.2766457172626281
2023-04-25,4.75,0.012998904056947596,0.012998904056947596
2023-04-26,3.75,-0.3731939243691533,-0.3731939243691533
2023-05-01,3.75,-0.3731939243691533,-0.3731939243691533
2023-05-02,6.75,0.7853845609091494,0.7853845609091494
2023-05-03,6.5,0.6888363538026242,0.6888363538026242
2023-05-04,4.75,0.012998904056947596,0.012998904056947596
2023-05-09,3.25,-0.5662903385822038,-0.5662903385822038
2023-05-15,2.5,-0.8559349599017794,-0.8559349599017794
2023-05-16,4.0,-0.2766457172626281,-0.2766457172626281
2023-05-17,3.25,-0.5662903385822038,-0.5662903385822038
2023-05-18,4.25,-0.18009751015610284,-0.18009751015610284
2023-05-19,4.25,-0.18009751015610284,-0.18009751015610284
2023-05-22,3.5,-0.4697421314756785,-0.4697421314756785
2023-05-23,5.5,0.3026435253765233,0.3026435253765233
2023-05-24,5.25,0.20609531826999805,0.20609531826999805
2023-05-30,20.5,6.095535951768036,6.095535951768036
2023-05-31,5.0,0.10954711116347282,0.10954711116347282
2023-06-01,3.25,-0.5662903385822038,-0.5662903385822038
2023-06-05,4.0,-0.2766457172626281,-0.2766457172626281
2023-06-06,7.25,0.9784809751221998,0.9784809751221998
2023-06-07,4.0,-0.2766457172626281,-0.2766457172626281
2023-06-08,3.75,-0.3731939243691533,-0.3731939243691533
2023-06-09,4.5,-0.08354930304957763,-0.08354930304957763
2023-06-15,5.25,0.20609531826999805,0.20609531826999805
2023-06-20,2.75,-0.7593867527952541,-0.7593867527952541
2023-06-21,5.5,0.3026435253765233,0.3026435253765233
2023-06-22,4.25,-0.18009751015610284,-0.18009751015610284
2023-06-23,8.5,1.461222010654826,1.461222010654826
2023-06-26,6.25,0.592288146696099,0.592288146696099
2023-06-27,2.5,-0.8559349599017794,-0.8559349599017794
2023-06-28,3.75,-0.3731939243691533,-0.3731939243691533
2023-07-05,4.5,-0.08354930304957763,-0.08354930304957763
2023-07-06,4.0,-0.2766457172626281,-0.2766457172626281
2023-07-11,4.25,-0.18009751015610284,-0.18009751015610284
