Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)"
count,67.0
mean,1.1240671880597002
std,0.8484537330536464
min,0.25
10%,0.375
25%,0.6875
50%,0.9374992000000475
75%,1.21875
95%,2.9125002399999835
99%,4.2737500000000015
max,4.5625
skewness,2.3035447170571
kurtosis,6.0300150472819585
