Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZB)"
count,87.0
mean,14.862068965517242
std,7.700683167810658
min,2.5
10%,5.3
25%,9.75
50%,15.0
75%,19.25
95%,28.050000000000004
99%,34.52000000000001
max,50.0
skewness,1.232952894168969
kurtosis,3.9123507283199186
