Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.8125007999999525,-0.4898513520748923,-0.4898513520748923
2024-10-16,0.9375007999999525,-0.38957459035315134,-0.38957459035315134
2024-10-17,2.3125007999999525,0.7134697885859989,0.7134697885859989
2024-10-18,0.9374992000000475,-0.3895758738956252,-0.3895758738956252
2024-10-21,0.8124992000000475,-0.48985263561736614,-0.48985263561736614
2024-10-22,1.125,-0.2391600895417769,-0.2391600895417769
2024-10-23,0.9375007999999525,-0.38957459035315134,-0.38957459035315134
2024-10-24,1.0,-0.3394368512635178,-0.3394368512635178
2024-10-28,0.6874992000000475,-0.5901293973391071,-0.5901293973391071
2024-10-29,1.0625007999999525,-0.28929782863141046,-0.28929782863141046
2024-11-04,0.9375007999999525,-0.38957459035315134,-0.38957459035315134
2024-11-05,0.875,-0.43971361298525874,-0.43971361298525874
2024-11-06,1.625,0.16194695734518685,0.16194695734518685
2024-11-07,1.9375007999999525,0.4126395034207761,0.4126395034207761
2024-11-11,0.75,-0.5399903747069997,-0.5399903747069997
2024-11-15,2.5625007999999525,0.9140233120294807,0.9140233120294807
2024-11-18,1.1874992000000475,-0.18902235045214333,-0.18902235045214333
2024-11-19,1.25,-0.13888332782003596,-0.13888332782003596
2024-11-20,0.6875007999999525,-0.5901281137966332,-0.5901281137966332
2024-11-21,0.9374992000000475,-0.3895758738956252,-0.3895758738956252
2024-11-25,1.875,0.3625004807886687,0.3625004807886687
2024-11-26,1.1874992000000475,-0.18902235045214333,-0.18902235045214333
2024-11-28,0.3124992000000475,-0.8909596825043299,-0.8909596825043299
2024-11-29,4.5625,2.5184508578060987,2.5184508578060987
2024-12-02,4.125,2.1674821917800053,2.1674821917800053
2024-12-03,1.1875,-0.18902170868090643,-0.18902170868090643
2024-12-04,0.3125,-0.890959040733093,-0.890959040733093
2024-12-05,3.0625,1.3151297171452077,1.3151297171452077
2024-12-10,1.1875,-0.18902170868090643,-0.18902170868090643
2024-12-13,0.75,-0.5399903747069997,-0.5399903747069997
2024-12-16,0.375,-0.8408206598722224,-0.8408206598722224
