Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.35126320789792764,-0.35126320789792764
2024-10-14,5.0,-0.1836670368093739,-0.1836670368093739
2024-10-16,5.0,-0.1836670368093739,-0.1836670368093739
2024-10-17,3.5,-0.4350612934422045,-0.4350612934422045
2024-10-20,4.5,-0.2674651223536508,-0.2674651223536508
2024-10-21,6.5,0.06772721982345664,0.06772721982345664
2024-10-22,6.0,-0.01607086572082021,-0.01607086572082021
2024-10-23,6.0,-0.01607086572082021,-0.01607086572082021
2024-10-24,6.0,-0.01607086572082021,-0.01607086572082021
2024-10-27,19.0,2.162679358430378,2.162679358430378
2024-10-28,5.0,-0.1836670368093739,-0.1836670368093739
2024-10-29,5.5,-0.09986895126509707,-0.09986895126509707
2024-11-03,8.0,0.3191214764562872,0.3191214764562872
2024-11-04,5.0,-0.1836670368093739,-0.1836670368093739
2024-11-05,50.0,7.3581606621755435,7.3581606621755435
2024-11-06,4.5,-0.2674651223536508,-0.2674651223536508
2024-11-07,7.0,0.1515253053677335,0.1515253053677335
2024-11-10,8.5,0.40291956200056406,0.40291956200056406
2024-11-11,6.5,0.06772721982345664,0.06772721982345664
2024-11-17,4.5,-0.2674651223536508,-0.2674651223536508
2024-11-18,4.5,-0.2674651223536508,-0.2674651223536508
2024-11-19,4.5,-0.2674651223536508,-0.2674651223536508
2024-11-20,2.5,-0.6026574645307582,-0.6026574645307582
2024-11-21,3.5,-0.4350612934422045,-0.4350612934422045
2024-11-24,9.5,0.5705157330891177,0.5705157330891177
2024-11-25,6.5,0.06772721982345664,0.06772721982345664
2024-11-26,3.0,-0.5188593789864814,-0.5188593789864814
2024-11-28,3.5,-0.4350612934422045,-0.4350612934422045
2024-12-01,9.0,0.4867176475448409,0.4867176475448409
2024-12-02,7.5,0.23532339091201035,0.23532339091201035
2024-12-03,6.0,-0.01607086572082021,-0.01607086572082021
2024-12-04,4.0,-0.35126320789792764,-0.35126320789792764
2024-12-05,4.5,-0.2674651223536508,-0.2674651223536508
2024-12-08,5.0,-0.1836670368093739,-0.1836670368093739
2024-12-10,4.0,-0.35126320789792764,-0.35126320789792764
2024-12-15,2.5,-0.6026574645307582,-0.6026574645307582
2024-12-16,3.0,-0.5188593789864814,-0.5188593789864814
2024-12-17,2.5,-0.6026574645307582,-0.6026574645307582
2024-12-18,5.0,-0.1836670368093739,-0.1836670368093739
2024-12-22,4.0,-0.35126320789792764,-0.35126320789792764
2024-12-23,2.5,-0.6026574645307582,-0.6026574645307582
2024-12-25,6.5,0.06772721982345664,0.06772721982345664
2024-12-26,4.5,-0.2674651223536508,-0.2674651223536508
2024-12-29,3.0,-0.5188593789864814,-0.5188593789864814
2024-12-30,5.0,-0.1836670368093739,-0.1836670368093739
2025-01-01,7.5,0.23532339091201035,0.23532339091201035
2025-01-02,3.0,-0.5188593789864814,-0.5188593789864814
2025-01-05,7.5,0.23532339091201035,0.23532339091201035
2025-01-06,5.0,-0.1836670368093739,-0.1836670368093739
2025-01-07,4.0,-0.35126320789792764,-0.35126320789792764
2025-01-08,6.5,0.06772721982345664,0.06772721982345664
2025-01-09,4.5,-0.2674651223536508,-0.2674651223536508
2025-01-12,7.5,0.23532339091201035,0.23532339091201035
2025-01-16,2.5,-0.6026574645307582,-0.6026574645307582
2025-01-19,3.0,-0.5188593789864814,-0.5188593789864814
2025-01-20,12.5,1.0733042463547788,1.0733042463547788
2025-01-21,3.5,-0.4350612934422045,-0.4350612934422045
2025-01-22,3.0,-0.5188593789864814,-0.5188593789864814
2025-01-23,5.0,-0.1836670368093739,-0.1836670368093739
2025-01-26,10.5,0.7381119041776715,0.7381119041776715
2025-01-27,5.0,-0.1836670368093739,-0.1836670368093739
2025-01-28,4.0,-0.35126320789792764,-0.35126320789792764
2025-01-29,4.5,-0.2674651223536508,-0.2674651223536508
2025-02-02,17.5,1.9112851017975474,1.9112851017975474
2025-02-03,4.0,-0.35126320789792764,-0.35126320789792764
2025-02-04,5.0,-0.1836670368093739,-0.1836670368093739
2025-02-05,3.5,-0.4350612934422045,-0.4350612934422045
2025-02-06,3.5,-0.4350612934422045,-0.4350612934422045
2025-02-09,4.5,-0.2674651223536508,-0.2674651223536508
2025-02-10,3.5,-0.4350612934422045,-0.4350612934422045
2025-02-11,6.5,0.06772721982345664,0.06772721982345664
2025-02-16,5.5,-0.09986895126509707,-0.09986895126509707
2025-02-17,6.5,0.06772721982345664,0.06772721982345664
