Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.25,0.29061506423810596,0.29061506423810596
2024-11-04,1.0,-0.49651864709109583,-0.49651864709109583
2024-11-05,12.0,6.43025801260588,6.43025801260588
2024-11-06,2.5,0.4480418065039463,0.4480418065039463
2024-11-07,2.0,0.1331883219722656,0.1331883219722656
2024-11-10,0.75,-0.6539453893569362,-0.6539453893569362
2024-11-11,2.75,0.6054685487697867,0.6054685487697867
2024-11-17,1.5,-0.18166516255941512,-0.18166516255941512
2024-11-18,1.5,-0.18166516255941512,-0.18166516255941512
2024-11-19,1.25,-0.3390919048252555,-0.3390919048252555
2024-11-20,1.0,-0.49651864709109583,-0.49651864709109583
2024-11-21,1.25,-0.3390919048252555,-0.3390919048252555
2024-11-24,2.25,0.29061506423810596,0.29061506423810596
2024-11-25,1.5,-0.18166516255941512,-0.18166516255941512
2024-11-26,1.25,-0.3390919048252555,-0.3390919048252555
2024-12-01,3.75,1.235175517833148,1.235175517833148
2024-12-02,0.5,-0.8113721316227765,-0.8113721316227765
2024-12-03,4.0,1.3926022600989882,1.3926022600989882
2024-12-04,1.25,-0.3390919048252555,-0.3390919048252555
2024-12-05,2.5,0.4480418065039463,0.4480418065039463
2024-12-08,3.75,1.235175517833148,1.235175517833148
2024-12-10,1.0,-0.49651864709109583,-0.49651864709109583
2024-12-15,1.0,-0.49651864709109583,-0.49651864709109583
2024-12-16,1.0,-0.49651864709109583,-0.49651864709109583
2024-12-17,0.75,-0.6539453893569362,-0.6539453893569362
2024-12-18,1.5,-0.18166516255941512,-0.18166516255941512
2024-12-22,1.5,-0.18166516255941512,-0.18166516255941512
2024-12-23,0.75,-0.6539453893569362,-0.6539453893569362
2024-12-25,1.0,-0.49651864709109583,-0.49651864709109583
2024-12-26,1.75,-0.02423842029357476,-0.02423842029357476
2024-12-29,1.0,-0.49651864709109583,-0.49651864709109583
2024-12-30,1.5,-0.18166516255941512,-0.18166516255941512
2025-01-01,2.25,0.29061506423810596,0.29061506423810596
2025-01-02,0.75,-0.6539453893569362,-0.6539453893569362
2025-01-05,0.75,-0.6539453893569362,-0.6539453893569362
2025-01-06,1.75,-0.02423842029357476,-0.02423842029357476
2025-01-07,1.0,-0.49651864709109583,-0.49651864709109583
2025-01-08,1.0,-0.49651864709109583,-0.49651864709109583
2025-01-09,1.0,-0.49651864709109583,-0.49651864709109583
2025-01-12,2.5,0.4480418065039463,0.4480418065039463
2025-01-16,1.0,-0.49651864709109583,-0.49651864709109583
2025-01-19,1.25,-0.3390919048252555,-0.3390919048252555
2025-01-20,4.5,1.707455744630669,1.707455744630669
2025-01-21,1.25,-0.3390919048252555,-0.3390919048252555
2025-01-22,0.75,-0.6539453893569362,-0.6539453893569362
2025-01-23,2.75,0.6054685487697867,0.6054685487697867
2025-01-26,1.25,-0.3390919048252555,-0.3390919048252555
2025-01-27,1.5,-0.18166516255941512,-0.18166516255941512
2025-01-28,0.75,-0.6539453893569362,-0.6539453893569362
2025-01-29,1.25,-0.3390919048252555,-0.3390919048252555
2025-02-02,4.0,1.3926022600989882,1.3926022600989882
2025-02-03,3.75,1.235175517833148,1.235175517833148
2025-02-04,1.75,-0.02423842029357476,-0.02423842029357476
2025-02-05,1.25,-0.3390919048252555,-0.3390919048252555
2025-02-06,0.75,-0.6539453893569362,-0.6539453893569362
2025-02-09,1.25,-0.3390919048252555,-0.3390919048252555
2025-02-11,0.75,-0.6539453893569362,-0.6539453893569362
2025-02-14,0.751953125,-0.6527154929329844,-0.6527154929329844
2025-02-18,2.0,0.1331883219722656,0.1331883219722656
2025-02-19,1.25,-0.3390919048252555,-0.3390919048252555
2025-02-20,1.0,-0.49651864709109583,-0.49651864709109583
2025-02-24,1.5,-0.18166516255941512,-0.18166516255941512
2025-02-25,1.5,-0.18166516255941512,-0.18166516255941512
2025-02-26,2.5,0.4480418065039463,0.4480418065039463
2025-03-03,1.75,-0.02423842029357476,-0.02423842029357476
