Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)"
count,62.0
mean,3.0806451612903225
std,1.6972580307204488
min,0.5
10%,1.5
25%,2.0
50%,2.625
75%,3.625
95%,6.718749999999997
99%,8.32
max,8.625
skewness,1.4581866305550966
kurtosis,2.0708641360923052
