Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,4.25,0.2228989555251659,0.2228989555251659
2024-11-05,5.0,0.580217891863218,0.580217891863218
2024-11-06,6.75,1.4139620766520062,1.4139620766520062
2024-11-07,5.5,0.8184305160885861,0.8184305160885861
2024-11-11,1.25,-1.2063767898270426,-1.2063767898270426
2024-11-15,6.5,1.2948557645393222,1.2948557645393222
2024-11-18,3.25,-0.2535262929255702,-0.2535262929255702
2024-11-19,2.75,-0.4917389171509383,-0.4917389171509383
2024-11-20,2.75,-0.4917389171509383,-0.4917389171509383
2024-11-21,3.25,-0.2535262929255702,-0.2535262929255702
2024-11-25,4.5,0.34200526763784994,0.34200526763784994
2024-11-26,2.0,-0.8490578534889904,-0.8490578534889904
2024-11-29,5.0,0.580217891863218,0.580217891863218
2024-12-02,5.0,0.580217891863218,0.580217891863218
2024-12-03,5.75,0.93753682820127,0.93753682820127
2024-12-04,3.5,-0.13441998081288623,-0.13441998081288623
2024-12-05,5.25,0.699324203975902,0.699324203975902
2024-12-10,3.75,-0.015313668700202178,-0.015313668700202178
2024-12-13,2.5,-0.6108452292636224,-0.6108452292636224
2024-12-16,1.75,-0.9681641656016744,-0.9681641656016744
2024-12-17,1.75,-0.9681641656016744,-0.9681641656016744
2024-12-18,15.5,5.582683000595948,5.582683000595948
2024-12-23,4.0,0.10379264341248186,0.10379264341248186
2024-12-24,3.25,-0.2535262929255702,-0.2535262929255702
2024-12-26,6.0,1.0566431403139542,1.0566431403139542
2024-12-27,2.5,-0.6108452292636224,-0.6108452292636224
2024-12-30,2.25,-0.7299515413763064,-0.7299515413763064
2024-12-31,2.25,-0.7299515413763064,-0.7299515413763064
2025-01-02,4.25,0.2228989555251659,0.2228989555251659
2025-01-03,2.75,-0.4917389171509383,-0.4917389171509383
2025-01-06,2.5,-0.6108452292636224,-0.6108452292636224
2025-01-07,2.25,-0.7299515413763064,-0.7299515413763064
2025-01-08,3.0,-0.3726326050382543,-0.3726326050382543
2025-01-09,2.5,-0.6108452292636224,-0.6108452292636224
2025-01-16,3.5,-0.13441998081288623,-0.13441998081288623
2025-01-17,2.75,-0.4917389171509383,-0.4917389171509383
2025-01-20,2.75,-0.4917389171509383,-0.4917389171509383
2025-01-21,2.25,-0.7299515413763064,-0.7299515413763064
2025-01-22,2.25,-0.7299515413763064,-0.7299515413763064
2025-01-23,2.5,-0.6108452292636224,-0.6108452292636224
2025-01-27,3.5,-0.13441998081288623,-0.13441998081288623
2025-01-28,3.25,-0.2535262929255702,-0.2535262929255702
2025-01-29,6.0,1.0566431403139542,1.0566431403139542
2025-02-03,5.0,0.580217891863218,0.580217891863218
2025-02-04,3.0,-0.3726326050382543,-0.3726326050382543
2025-02-05,2.25,-0.7299515413763064,-0.7299515413763064
2025-02-06,4.25,0.2228989555251659,0.2228989555251659
2025-02-11,2.0,-0.8490578534889904,-0.8490578534889904
2025-02-14,8.0,2.0094936372154266,2.0094936372154266
2025-02-17,1.25,-1.2063767898270426,-1.2063767898270426
2025-02-18,1.75,-0.9681641656016744,-0.9681641656016744
2025-02-19,2.75,-0.4917389171509383,-0.4917389171509383
2025-02-20,3.5,-0.13441998081288623,-0.13441998081288623
2025-02-24,5.0,0.580217891863218,0.580217891863218
2025-02-25,5.0,0.580217891863218,0.580217891863218
2025-02-26,4.0,0.10379264341248186,0.10379264341248186
2025-03-03,3.5,-0.13441998081288623,-0.13441998081288623
2025-03-04,4.5,0.34200526763784994,0.34200526763784994
2025-03-05,6.0,1.0566431403139542,1.0566431403139542
2025-03-06,6.5,1.2948557645393222,1.2948557645393222
2025-03-11,3.75,-0.015313668700202178,-0.015313668700202178
2025-03-17,6.75,1.4139620766520062,1.4139620766520062
2025-03-18,3.75,-0.015313668700202178,-0.015313668700202178
2025-03-19,4.5,0.34200526763784994,0.34200526763784994
2025-03-20,4.25,0.2228989555251659,0.2228989555251659
2025-03-21,2.5,-0.6108452292636224,-0.6108452292636224
2025-03-24,2.0,-0.8490578534889904,-0.8490578534889904
2025-03-25,1.75,-0.9681641656016744,-0.9681641656016744
2025-03-26,2.5,-0.6108452292636224,-0.6108452292636224
2025-03-31,1.0,-1.3254831019397266,-1.3254831019397266
