Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZT)"
count,63.0
mean,0.997047010218257
std,0.6135352948685425
min,0.3124992000000475
10%,0.5125
25%,0.6562496000000237
50%,0.8125
75%,1.0625007999999525
95%,2.1125
99%,3.246250000000002
max,3.75
skewness,2.4638770262853478
kurtosis,7.308397634115272
