Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZT)"
count,108.0
mean,2.118055533333335
std,1.6842698649212062
min,0.125
10%,0.6687500000000001
25%,1.0468755999999644
50%,1.6875
75%,2.390625
95%,5.3125
99%,8.486874999999998
max,8.625
skewness,2.1121379647782645
kurtosis,5.010474520404632
