Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:15m, Symbol:ZN)"
count,52.0
mean,6.043269230769231
std,2.4443417824892917
min,1.5
10%,3.2750000000000004
25%,4.5
50%,5.5
75%,7.5
95%,10.974999999999998
99%,12.1225
max,12.25
skewness,0.7442528411687808
kurtosis,0.4335450038861426
