Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)"
count,69.0
mean,4.427536231884058
std,2.3077162162400637
min,0.75
10%,2.25
25%,3.0
50%,3.75
75%,5.25
95%,8.999999999999993
99%,11.449999999999974
max,14.0
skewness,1.6841394367256926
kurtosis,3.93256610580349
