Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.4152513838501668,-1.4152513838501668
2024-10-14,14.5,-0.024739612879642933,-0.024739612879642933
2024-10-16,10.0,-0.6206732290098674,-0.6206732290098674
2024-10-17,20.0,0.7036236957239648,0.7036236957239648
2024-10-18,15.0,0.041475233357048676,0.041475233357048676
2024-10-20,4.5,-1.3490365376134752,-1.3490365376134752
2024-10-21,32.0,2.2927800054045635,2.2927800054045635
2024-10-22,13.5,-0.15716930535302615,-0.15716930535302615
2024-10-23,9.0,-0.7531029214832506,-0.7531029214832506
2024-10-24,15.0,0.041475233357048676,0.041475233357048676
2024-10-27,19.0,0.5711940032505816,0.5711940032505816
2024-10-28,16.0,0.1739049258304319,0.1739049258304319
2024-10-29,22.0,0.9684830806707312,0.9684830806707312
2024-11-03,8.0,-0.8855326139566339,-0.8855326139566339
2024-11-04,15.0,0.041475233357048676,0.041475233357048676
2024-11-05,50.0,4.676514469925462,4.676514469925462
2024-11-06,27.0,1.6306315430376472,1.6306315430376472
2024-11-07,29.0,1.8954909279844137,1.8954909279844137
2024-11-10,8.5,-0.8193177677199422,-0.8193177677199422
2024-11-11,15.0,0.041475233357048676,0.041475233357048676
2024-11-15,21.0,0.836053388197348,0.836053388197348
2024-11-17,4.5,-1.3490365376134752,-1.3490365376134752
2024-11-18,21.5,0.9022682344340396,0.9022682344340396
2024-11-19,17.0,0.30633461830381514,0.30633461830381514
2024-11-20,13.0,-0.22338415158971775,-0.22338415158971775
2024-11-21,14.5,-0.024739612879642933,-0.024739612879642933
2024-11-24,9.5,-0.686888075246559,-0.686888075246559
2024-11-25,24.0,1.2333424656174976,1.2333424656174976
2024-11-26,10.5,-0.5544583827731758,-0.5544583827731758
2024-11-28,7.5,-0.9517474601933255,-0.9517474601933255
2024-11-29,13.0,-0.22338415158971775,-0.22338415158971775
2024-12-01,9.0,-0.7531029214832506,-0.7531029214832506
2024-12-02,19.5,0.6374088494872732,0.6374088494872732
2024-12-03,20.0,0.7036236957239648,0.7036236957239648
2024-12-04,21.5,0.9022682344340396,0.9022682344340396
2024-12-05,15.5,0.10769007959374029,0.10769007959374029
2024-12-08,5.0,-1.2828216913767836,-1.2828216913767836
2024-12-10,15.5,0.10769007959374029,0.10769007959374029
2024-12-13,22.0,0.9684830806707312,0.9684830806707312
2024-12-15,2.5,-1.6138959225602416,-1.6138959225602416
2024-12-16,12.0,-0.35581384406310096,-0.35581384406310096
2024-12-17,16.0,0.1739049258304319,0.1739049258304319
2024-12-18,28.5,1.829276081747722,1.829276081747722
2024-12-22,4.0,-1.4152513838501668,-1.4152513838501668
2024-12-23,16.5,0.2401197720671235,0.2401197720671235
2024-12-24,12.0,-0.35581384406310096,-0.35581384406310096
2024-12-25,6.5,-1.0841771526667088,-1.0841771526667088
2024-12-26,15.5,0.10769007959374029,0.10769007959374029
2024-12-27,15.0,0.041475233357048676,0.041475233357048676
2024-12-29,3.0,-1.54768107632355,-1.54768107632355
2024-12-30,21.5,0.9022682344340396,0.9022682344340396
2024-12-31,18.0,0.43876431077719835,0.43876431077719835
2025-01-01,7.5,-0.9517474601933255,-0.9517474601933255
2025-01-02,18.0,0.43876431077719835,0.43876431077719835
2025-01-03,14.5,-0.024739612879642933,-0.024739612879642933
2025-01-05,7.5,-0.9517474601933255,-0.9517474601933255
2025-01-06,15.0,0.041475233357048676,0.041475233357048676
2025-01-07,20.0,0.7036236957239648,0.7036236957239648
2025-01-08,15.5,0.10769007959374029,0.10769007959374029
2025-01-09,12.0,-0.35581384406310096,-0.35581384406310096
2025-01-12,7.5,-0.9517474601933255,-0.9517474601933255
2025-01-16,19.5,0.6374088494872732,0.6374088494872732
2025-01-17,12.5,-0.28959899782640935,-0.28959899782640935
2025-01-19,3.0,-1.54768107632355,-1.54768107632355
2025-01-20,25.5,1.4319870043275724,1.4319870043275724
2025-01-21,11.0,-0.4882435365364842,-0.4882435365364842
2025-01-22,12.0,-0.35581384406310096,-0.35581384406310096
2025-01-23,15.5,0.10769007959374029,0.10769007959374029
2025-01-26,10.5,-0.5544583827731758,-0.5544583827731758
2025-01-27,18.0,0.43876431077719835,0.43876431077719835
2025-01-28,11.5,-0.42202869029979256,-0.42202869029979256
2025-01-29,17.0,0.30633461830381514,0.30633461830381514
2025-02-02,17.5,0.37254946454050675,0.37254946454050675
2025-02-03,18.5,0.50497915701389,0.50497915701389
2025-02-04,20.5,0.7698385419606564,0.7698385419606564
2025-02-05,26.5,1.5644166968009556,1.5644166968009556
2025-02-06,11.0,-0.4882435365364842,-0.4882435365364842
2025-02-09,4.5,-1.3490365376134752,-1.3490365376134752
2025-02-11,14.5,-0.024739612879642933,-0.024739612879642933
2025-02-14,21.5,0.9022682344340396,0.9022682344340396
2025-02-16,5.5,-1.216606845140092,-1.216606845140092
2025-02-17,7.0,-1.0179623064300172,-1.0179623064300172
2025-02-18,11.5,-0.42202869029979256,-0.42202869029979256
2025-02-19,11.5,-0.42202869029979256,-0.42202869029979256
2025-02-20,9.5,-0.686888075246559,-0.686888075246559
2025-02-23,4.0,-1.4152513838501668,-1.4152513838501668
2025-02-24,17.0,0.30633461830381514,0.30633461830381514
2025-02-25,23.0,1.1009127731441144,1.1009127731441144
2025-02-26,19.0,0.5711940032505816,0.5711940032505816
2025-03-02,7.5,-0.9517474601933255,-0.9517474601933255
2025-03-03,11.0,-0.4882435365364842,-0.4882435365364842
