Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.30110979333561444,-0.30110979333561444
2022-12-21,4.0,-0.3867802379688594,-0.3867802379688594
2022-12-27,7.75,0.8982764315298154,0.8982764315298154
2022-12-28,5.0,-0.044098459435879485,-0.044098459435879485
2022-12-29,4.75,-0.12976890406912447,-0.12976890406912447
2022-12-30,9.25,1.4122990993292852,1.4122990993292852
2023-01-03,4.25,-0.30110979333561444,-0.30110979333561444
2023-01-04,4.0,-0.3867802379688594,-0.3867802379688594
2023-01-05,6.75,0.5555946529968354,0.5555946529968354
2023-01-10,6.0,0.29858331909710045,0.29858331909710045
2023-01-11,4.25,-0.30110979333561444,-0.30110979333561444
2023-01-17,5.5,0.1272424298306105,0.1272424298306105
2023-01-19,5.5,0.1272424298306105,0.1272424298306105
2023-01-20,6.0,0.29858331909710045,0.29858331909710045
2023-01-23,5.5,0.1272424298306105,0.1272424298306105
2023-01-24,3.5,-0.5581211272353493,-0.5581211272353493
2023-01-25,7.75,0.8982764315298154,0.8982764315298154
2023-01-30,4.25,-0.30110979333561444,-0.30110979333561444
2023-01-31,3.0,-0.7294620165018394,-0.7294620165018394
2023-02-01,16.0,3.7254011044268998,3.7254011044268998
2023-02-02,7.25,0.7269355422633254,0.7269355422633254
2023-02-06,4.75,-0.12976890406912447,-0.12976890406912447
2023-02-07,8.75,1.2409582100627954,1.2409582100627954
2023-02-08,3.25,-0.6437915718685944,-0.6437915718685944
2023-02-09,10.5,1.8406513224955101,1.8406513224955101
2023-02-15,6.5,0.46992420836359045,0.46992420836359045
2023-02-17,6.25,0.3842537637303454,0.3842537637303454
2023-02-21,5.25,0.0415719851973655,0.0415719851973655
2023-02-22,2.75,-0.8151324611350843,-0.8151324611350843
2023-02-27,10.5,1.8406513224955101,1.8406513224955101
2023-02-28,11.75,2.269003545661735,2.269003545661735
2023-03-01,11.0,2.011992211762,2.011992211762
2023-03-02,10.5,1.8406513224955101,1.8406513224955101
2023-03-03,8.75,1.2409582100627954,1.2409582100627954
2023-03-06,12.25,2.440344434928225,2.440344434928225
2023-03-07,8.0,0.9839468761630603,0.9839468761630603
2023-03-08,6.25,0.3842537637303454,0.3842537637303454
2023-03-09,10.75,1.9263217671287551,1.9263217671287551
2023-03-16,30.0,8.522946003888618,8.522946003888618
2023-03-20,10.25,1.7549808778622653,1.7549808778622653
2023-03-21,9.5,1.4979695439625302,1.4979695439625302
2023-03-22,11.25,2.097662656395245,2.097662656395245
2023-03-23,13.75,2.954367102727695,2.954367102727695
2023-03-24,7.75,0.8982764315298154,0.8982764315298154
2023-03-27,7.75,0.8982764315298154,0.8982764315298154
2023-03-28,5.5,0.1272424298306105,0.1272424298306105
2023-03-29,6.0,0.29858331909710045,0.29858331909710045
2023-04-03,4.75,-0.12976890406912447,-0.12976890406912447
2023-04-04,4.75,-0.12976890406912447,-0.12976890406912447
2023-04-05,5.75,0.21291287446385548,0.21291287446385548
2023-04-06,4.25,-0.30110979333561444,-0.30110979333561444
2023-04-11,4.25,-0.30110979333561444,-0.30110979333561444
2023-04-17,4.5,-0.21543934870236944,-0.21543934870236944
2023-04-18,5.75,0.21291287446385548,0.21291287446385548
2023-04-19,4.0,-0.3867802379688594,-0.3867802379688594
2023-04-20,3.75,-0.47245068260210443,-0.47245068260210443
2023-04-21,3.5,-0.5581211272353493,-0.5581211272353493
2023-04-24,5.0,-0.044098459435879485,-0.044098459435879485
2023-04-25,7.5,0.8126059868965704,0.8126059868965704
2023-04-26,10.25,1.7549808778622653,1.7549808778622653
2023-05-01,4.25,-0.30110979333561444,-0.30110979333561444
2023-05-02,3.5,-0.5581211272353493,-0.5581211272353493
2023-05-03,7.5,0.8126059868965704,0.8126059868965704
2023-05-04,12.5,2.52601487956147,2.52601487956147
2023-05-09,2.75,-0.8151324611350843,-0.8151324611350843
2023-05-15,2.25,-0.9864733504015744,-0.9864733504015744
2023-05-16,4.25,-0.30110979333561444,-0.30110979333561444
2023-05-17,6.75,0.5555946529968354,0.5555946529968354
2023-05-18,4.0,-0.3867802379688594,-0.3867802379688594
2023-05-19,8.25,1.0696173207963053,1.0696173207963053
