Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.27272912805205235,-0.27272912805205235
2024-10-16,1.0,-0.21906150907051852,-0.21906150907051852
2024-10-17,0.375,-0.7557308295189628,-0.7557308295189628
2024-10-18,0.6874992000000475,-0.48739685623143003,-0.48739685623143003
2024-10-21,1.5625007999999525,0.26394156626977067,0.26394156626977067
2024-10-22,0.6874992000000475,-0.48739685623143003,-0.48739685623143003
2024-10-23,0.625,-0.541063101339585,-0.541063101339585
2024-10-24,0.875,-0.32639537316020734,-0.32639537316020734
2024-10-28,1.1874992000000475,-0.05806139987267465,-0.05806139987267465
2024-10-29,1.0625007999999525,-0.1653938900889847,-0.1653938900889847
2024-11-04,0.875,-0.32639537316020734,-0.32639537316020734
2024-11-05,0.8124992000000475,-0.38006299214174116,-0.38006299214174116
2024-11-06,2.0,0.6396094036469923,0.6396094036469923
2024-11-07,1.25,-0.004393780891140832,-0.004393780891140832
2024-11-11,0.75,-0.4337292372498962,-0.4337292372498962
2024-11-15,1.375,0.10294008319854801,0.10294008319854801
2024-11-18,0.875,-0.32639537316020734,-0.32639537316020734
2024-11-19,2.125,0.7469432677366811,0.7469432677366811
2024-11-20,0.8124992000000475,-0.38006299214174116,-0.38006299214174116
2024-11-21,1.0625007999999525,-0.1653938900889847,-0.1653938900889847
2024-11-25,0.875,-0.32639537316020734,-0.32639537316020734
2024-11-26,0.75,-0.4337292372498962,-0.4337292372498962
2024-11-28,0.3124992000000475,-0.8093984485004966,-0.8093984485004966
2024-11-29,0.5,-0.6483969654292739,-0.6483969654292739
2024-12-02,3.75,2.1422835009026358,2.1422835009026358
2024-12-03,0.625,-0.541063101339585,-0.541063101339585
2024-12-04,0.8125,-0.3800623052050518,-0.3800623052050518
2024-12-05,2.9375,1.4446133843196585,1.4446133843196585
2024-12-10,1.0,-0.21906150907051852,-0.21906150907051852
2024-12-13,0.875,-0.32639537316020734,-0.32639537316020734
2024-12-16,0.875,-0.32639537316020734,-0.32639537316020734
2024-12-17,1.9375,0.5859424716021479,0.5859424716021479
2024-12-18,0.75,-0.4337292372498962,-0.4337292372498962
2024-12-23,0.4375,-0.7020638974741183,-0.7020638974741183
2024-12-26,0.4375,-0.7020638974741183,-0.7020638974741183
2024-12-27,0.5625,-0.5947300333844294,-0.5947300333844294
2024-12-30,0.75,-0.4337292372498962,-0.4337292372498962
2024-12-31,0.5,-0.6483969654292739,-0.6483969654292739
2025-01-02,1.5,0.21027394728823687,0.21027394728823687
2025-01-03,0.625,-0.541063101339585,-0.541063101339585
2025-01-06,1.375,0.10294008319854801,0.10294008319854801
2025-01-07,0.68896484375,-0.4861383505749396,-0.4861383505749396
2025-01-08,1.125,-0.11172764498082967,-0.11172764498082967
2025-01-09,0.875,-0.32639537316020734,-0.32639537316020734
2025-01-16,0.75,-0.4337292372498962,-0.4337292372498962
2025-01-17,0.6875,-0.4873961692947406,-0.4873961692947406
2025-01-20,0.625,-0.541063101339585,-0.541063101339585
2025-01-21,1.4375,0.15660701524339243,0.15660701524339243
2025-01-22,0.625,-0.541063101339585,-0.541063101339585
2025-01-23,0.5625,-0.5947300333844294,-0.5947300333844294
2025-01-27,2.625,1.1762787240954364,1.1762787240954364
2025-01-28,0.5625,-0.5947300333844294,-0.5947300333844294
2025-01-29,0.4375,-0.7020638974741183,-0.7020638974741183
2025-02-03,1.375,0.10294008319854801,0.10294008319854801
2025-02-04,0.9375,-0.27272844111536293,-0.27272844111536293
2025-02-05,0.9375,-0.27272844111536293,-0.27272844111536293
2025-02-06,0.6875,-0.4873961692947406,-0.4873961692947406
2025-02-11,0.375,-0.7557308295189628,-0.7557308295189628
2025-02-14,0.6875,-0.4873961692947406,-0.4873961692947406
2025-02-17,0.625,-0.541063101339585,-0.541063101339585
2025-02-18,0.3125,-0.8093977615638072,-0.8093977615638072
2025-02-19,0.3125,-0.8093977615638072,-0.8093977615638072
2025-02-20,0.3125,-0.8093977615638072,-0.8093977615638072
2025-02-24,0.4375,-0.7020638974741183,-0.7020638974741183
2025-02-25,1.1875,-0.058060712935985255,-0.058060712935985255
2025-02-26,4.375,2.6789528213510803,2.6789528213510803
2025-03-03,4.875,3.1082882777098355,3.1082882777098355
2025-03-04,5.5,3.6449575981582796,3.6449575981582796
2025-03-05,1.375,0.10294008319854801,0.10294008319854801
2025-03-06,5.375,3.5376237340685908,3.5376237340685908
2025-03-11,4.875,3.1082882777098355,3.1082882777098355
2025-03-17,0.75,-0.4337292372498962,-0.4337292372498962
2025-03-18,0.5625,-0.5947300333844294,-0.5947300333844294
2025-03-19,0.5625,-0.5947300333844294,-0.5947300333844294
2025-03-20,1.5,0.21027394728823687,0.21027394728823687
2025-03-21,1.125,-0.11172764498082967,-0.11172764498082967
2025-03-24,0.5625,-0.5947300333844294,-0.5947300333844294
2025-03-25,1.0,-0.21906150907051852,-0.21906150907051852
2025-03-26,0.6875,-0.4873961692947406,-0.4873961692947406
2025-03-31,0.625,-0.541063101339585,-0.541063101339585
2025-04-01,1.0,-0.21906150907051852,-0.21906150907051852
2025-04-02,1.5,0.21027394728823687,0.21027394728823687
2025-04-03,1.8125,0.478608607512459,0.478608607512459
2025-04-07,5.9375,4.020626122472191,4.020626122472191
2025-04-08,2.0625,0.6932763356918367,0.6932763356918367
2025-04-09,2.6875,1.2299456561402808,1.2299456561402808
2025-04-15,1.125,-0.11172764498082967,-0.11172764498082967
2025-04-16,1.375,0.10294008319854801,0.10294008319854801
2025-04-17,0.875,-0.32639537316020734,-0.32639537316020734
2025-04-21,1.1875,-0.058060712935985255,-0.058060712935985255
2025-04-22,1.4375,0.15660701524339243,0.15660701524339243
2025-04-23,0.75,-0.4337292372498962,-0.4337292372498962
2025-04-24,0.625,-0.541063101339585,-0.541063101339585
2025-04-28,0.875,-0.32639537316020734,-0.32639537316020734
2025-04-29,0.5625,-0.5947300333844294,-0.5947300333844294
2025-05-01,1.25,-0.004393780891140832,-0.004393780891140832
2025-05-05,0.5625,-0.5947300333844294,-0.5947300333844294
2025-05-06,1.3125,0.04927315115370359,0.04927315115370359
