Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.45314376472385653,-0.45314376472385653
2022-12-21,2.0,-0.3186434609614327,-0.3186434609614327
2022-12-27,2.5,-0.04964285343658506,-0.04964285343658506
2022-12-28,2.0,-0.3186434609614327,-0.3186434609614327
2022-12-29,2.75,0.08485745032583876,0.08485745032583876
2022-12-30,2.5,-0.04964285343658506,-0.04964285343658506
2023-01-03,5.75,1.6988610954749246,1.6988610954749246
2023-01-04,4.0,0.7573589691379579,0.7573589691379579
2023-01-05,2.5,-0.04964285343658506,-0.04964285343658506
2023-01-10,2.5,-0.04964285343658506,-0.04964285343658506
2023-01-11,3.75,0.622858665375534,0.622858665375534
2023-01-17,2.0,-0.3186434609614327,-0.3186434609614327
2023-01-19,2.25,-0.1841431571990089,-0.1841431571990089
2023-01-20,1.75,-0.45314376472385653,-0.45314376472385653
2023-01-23,1.5,-0.5876440684862804,-0.5876440684862804
2023-01-24,1.75,-0.45314376472385653,-0.45314376472385653
2023-01-25,2.75,0.08485745032583876,0.08485745032583876
2023-01-30,2.25,-0.1841431571990089,-0.1841431571990089
2023-01-31,5.0,1.2953601841876532,1.2953601841876532
2023-02-01,4.5,1.0263595766628055,1.0263595766628055
2023-02-02,2.75,0.08485745032583876,0.08485745032583876
2023-02-06,3.5,0.48835836161311025,0.48835836161311025
2023-02-07,2.0,-0.3186434609614327,-0.3186434609614327
2023-02-08,4.0,0.7573589691379579,0.7573589691379579
2023-02-09,3.25,0.3538580578506864,0.3538580578506864
2023-02-15,2.5,-0.04964285343658506,-0.04964285343658506
2023-02-17,1.5,-0.5876440684862804,-0.5876440684862804
2023-02-21,2.0,-0.3186434609614327,-0.3186434609614327
2023-02-22,2.25,-0.1841431571990089,-0.1841431571990089
2023-02-27,9.25,3.581865348148858,3.581865348148858
2023-02-28,10.75,4.388867170723401,4.388867170723401
2023-03-01,9.25,3.581865348148858,3.581865348148858
2023-03-02,8.5,3.1783644368615867,3.1783644368615867
2023-03-03,7.75,2.774863525574315,2.774863525574315
2023-03-06,9.25,3.581865348148858,3.581865348148858
2023-03-07,2.0,-0.3186434609614327,-0.3186434609614327
2023-03-08,2.75,0.08485745032583876,0.08485745032583876
2023-03-09,4.5,1.0263595766628055,1.0263595766628055
2023-03-16,5.0,1.2953601841876532,1.2953601841876532
2023-03-20,4.75,1.1608598804252293,1.1608598804252293
2023-03-21,2.75,0.08485745032583876,0.08485745032583876
2023-03-22,11.0,4.523367474485824,4.523367474485824
2023-03-23,8.0,2.9093638293367388,2.9093638293367388
2023-03-24,2.5,-0.04964285343658506,-0.04964285343658506
2023-03-27,2.5,-0.04964285343658506,-0.04964285343658506
2023-03-28,4.75,1.1608598804252293,1.1608598804252293
2023-03-29,2.0,-0.3186434609614327,-0.3186434609614327
2023-04-03,1.75,-0.45314376472385653,-0.45314376472385653
2023-04-04,2.25,-0.1841431571990089,-0.1841431571990089
2023-04-05,3.75,0.622858665375534,0.622858665375534
2023-04-06,2.25,-0.1841431571990089,-0.1841431571990089
2023-04-11,1.75,-0.45314376472385653,-0.45314376472385653
2023-04-17,2.25,-0.1841431571990089,-0.1841431571990089
2023-04-18,1.5,-0.5876440684862804,-0.5876440684862804
2023-04-19,2.5,-0.04964285343658506,-0.04964285343658506
2023-04-20,1.0,-0.856644676011128,-0.856644676011128
2023-04-21,1.25,-0.7221443722487042,-0.7221443722487042
2023-04-24,3.75,0.622858665375534,0.622858665375534
2023-04-25,3.5,0.48835836161311025,0.48835836161311025
2023-04-26,3.75,0.622858665375534,0.622858665375534
2023-05-01,4.0,0.7573589691379579,0.7573589691379579
2023-05-02,2.0,-0.3186434609614327,-0.3186434609614327
2023-05-03,11.5,4.792368082010673,4.792368082010673
2023-05-04,5.25,1.429860487950077,1.429860487950077
