Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZB)"
count,66.0
mean,8.166727701822913
std,3.633496359396246
min,2.5
10%,5.0
25%,6.0
50%,7.5
75%,9.5
95%,13.625
99%,20.97499999999995
max,26.5
skewness,2.351261059480372
kurtosis,9.411708142615161
