Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,7.75,0.07259604402544215,0.07259604402544215
2024-10-01,10.75,0.8439982828301398,0.8439982828301398
2024-10-02,9.0,0.3940136435273995,0.3940136435273995
2024-10-03,8.25,0.20116308382622508,0.20116308382622508
2024-10-06,3.25,-1.0845073141816042,-1.0845073141816042
2024-10-07,7.25,-0.05597099577534078,-0.05597099577534078
2024-10-08,6.75,-0.18453803557612372,-0.18453803557612372
2024-10-09,8.0,0.1368795639258336,0.1368795639258336
2024-10-13,1.5,-1.5344919534843446,-1.5344919534843446
2024-10-14,6.75,-0.18453803557612372,-0.18453803557612372
2024-10-16,4.5,-0.7630897146796469,-0.7630897146796469
2024-10-17,7.5,0.008312524125050683,0.008312524125050683
2024-10-18,5.5,-0.5059556350780811,-0.5059556350780811
2024-10-20,2.0,-1.4059249136835617,-1.4059249136835617
2024-10-21,14.0,1.6796840415352288,1.6796840415352288
2024-10-22,7.0,-0.12025451567573225,-0.12025451567573225
2024-10-23,4.75,-0.6988061947792554,-0.6988061947792554
2024-10-24,5.0,-0.6345226748788639,-0.6345226748788639
2024-10-27,6.0,-0.3773885952772981,-0.3773885952772981
2024-10-28,7.5,0.008312524125050683,0.008312524125050683
2024-10-29,10.75,0.8439982828301398,0.8439982828301398
2024-11-03,3.75,-0.9559402743808213,-0.9559402743808213
2024-11-04,7.25,-0.05597099577534078,-0.05597099577534078
2024-11-05,23.25,4.058174277849713,4.058174277849713
2024-11-06,10.75,0.8439982828301398,0.8439982828301398
2024-11-07,15.5,2.0653851609375775,2.0653851609375775
2024-11-10,3.75,-0.9559402743808213,-0.9559402743808213
2024-11-11,6.25,-0.3131050753769066,-0.3131050753769066
2024-11-15,12.75,1.3582664420332715,1.3582664420332715
2024-11-17,2.5,-1.2773578738827787,-1.2773578738827787
2024-11-18,9.25,0.458297163427791,0.458297163427791
2024-11-19,8.0,0.1368795639258336,0.1368795639258336
2024-11-20,5.25,-0.5702391549784726,-0.5702391549784726
2024-11-21,7.0,-0.12025451567573225,-0.12025451567573225
2024-11-24,3.75,-0.9559402743808213,-0.9559402743808213
2024-11-25,11.5,1.0368488425313143,1.0368488425313143
2024-11-26,5.5,-0.5059556350780811,-0.5059556350780811
2024-11-28,5.75,-0.44167211517768956,-0.44167211517768956
2024-11-29,5.75,-0.44167211517768956,-0.44167211517768956
2024-12-01,4.5,-0.7630897146796469,-0.7630897146796469
2024-12-02,9.5,0.5225806833281824,0.5225806833281824
2024-12-03,10.0,0.6511477231289654,0.6511477231289654
2024-12-04,9.5,0.5225806833281824,0.5225806833281824
2024-12-05,8.25,0.20116308382622508,0.20116308382622508
2024-12-08,4.0,-0.8916567544804299,-0.8916567544804299
2024-12-10,9.5,0.5225806833281824,0.5225806833281824
2024-12-13,10.0,0.6511477231289654,0.6511477231289654
2024-12-15,1.75,-1.4702084335839531,-1.4702084335839531
2024-12-16,5.25,-0.5702391549784726,-0.5702391549784726
2024-12-17,7.25,-0.05597099577534078,-0.05597099577534078
2024-12-18,18.0,2.7082203599414925,2.7082203599414925
2024-12-22,1.75,-1.4702084335839531,-1.4702084335839531
2024-12-23,8.75,0.32973012362700804,0.32973012362700804
2024-12-24,4.5,-0.7630897146796469,-0.7630897146796469
2024-12-25,3.25,-1.0845073141816042,-1.0845073141816042
2024-12-26,8.0,0.1368795639258336,0.1368795639258336
2024-12-27,5.75,-0.44167211517768956,-0.44167211517768956
2024-12-29,1.5,-1.5344919534843446,-1.5344919534843446
2024-12-30,11.0,0.9082818027305313,0.9082818027305313
2024-12-31,7.75,0.07259604402544215,0.07259604402544215
2025-01-01,3.25,-1.0845073141816042,-1.0845073141816042
2025-01-02,8.5,0.26544660372661655,0.26544660372661655
2025-01-03,7.25,-0.05597099577534078,-0.05597099577534078
2025-01-05,3.5,-1.020223794281213,-1.020223794281213
2025-01-06,7.5,0.008312524125050683,0.008312524125050683
2025-01-07,9.0,0.3940136435273995,0.3940136435273995
2025-01-08,7.25,-0.05597099577534078,-0.05597099577534078
2025-01-09,4.75,-0.6988061947792554,-0.6988061947792554
2025-01-12,4.25,-0.8273732345800384,-0.8273732345800384
2025-01-16,12.0,1.165415882332097,1.165415882332097
2025-01-17,7.25,-0.05597099577534078,-0.05597099577534078
2025-01-19,2.25,-1.3416413937831702,-1.3416413937831702
2025-01-20,13.75,1.6154005216348373,1.6154005216348373
2025-01-21,7.5,0.008312524125050683,0.008312524125050683
