Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)"
count,102.0
mean,4.112745098039215
std,3.0065167361710667
min,0.5
10%,1.7750000000000004
25%,2.5
50%,3.25
75%,5.1875
95%,9.25
99%,14.70999999999998
max,22.5
skewness,3.1391321914372847
kurtosis,14.313789556181055
