Volatility of Returns Statistic,"(Session:All day, Interval:15m, Symbol:ZN)"
count,97.0
mean,8.201072456910437
std,4.3755324090961585
min,1.5
10%,3.25
25%,5.25
50%,7.254028320312273
75%,10.25
95%,17.049999999999997
99%,23.259999999999998
max,23.5
skewness,1.2839466173663745
kurtosis,2.1628379808252567
