"(Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3324.0
mean,36.82250300842359
std,33.51641041804979
min,0.0
5%,3.0000000000001137
25%,12.999999999999545
50%,28.000000000000114
68%,43.00000000000068
90%,78.00000000000011
95%,101.84999999999866
99%,157.0800000000007
99.7%,207.06199999999924
max,294.99999999999886
