Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)"
count,65.0
mean,1.239423076923077
std,0.9056146334412687
min,0.1875
10%,0.5
25%,0.6875
50%,1.0625
75%,1.4375007999999525
95%,2.9749999999999988
99%,4.5325
max,4.8125
skewness,2.298822273460424
kurtosis,6.016328932374826
