Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.639320276513673,-0.639320276513673
2024-10-14,2.0,-0.07873402420119126,-0.07873402420119126
2024-10-16,1.375,-0.4291004318964923,-0.4291004318964923
2024-10-17,0.875,-0.7093935580527331,-0.7093935580527331
2024-10-20,1.125,-0.5692469949746127,-0.5692469949746127
2024-10-21,1.625,-0.2889538688183719,-0.2889538688183719
2024-10-22,2.25,0.061412538876929164,0.061412538876929164
2024-10-23,2.125,-0.008660742662131042,-0.008660742662131042
2024-10-24,1.375,-0.4291004318964923,-0.4291004318964923
2024-10-27,3.375,0.692072072728471,0.692072072728471
2024-10-28,1.375,-0.4291004318964923,-0.4291004318964923
2024-10-29,1.25,-0.4991737134355525,-0.4991737134355525
2024-11-03,2.5,0.20155910195504959,0.20155910195504959
2024-11-04,1.25,-0.4991737134355525,-0.4991737134355525
2024-11-05,13.0,6.087714751236107,6.087714751236107
2024-11-06,2.0,-0.07873402420119126,-0.07873402420119126
2024-11-07,1.625,-0.2889538688183719,-0.2889538688183719
2024-11-10,2.0,-0.07873402420119126,-0.07873402420119126
2024-11-11,1.5,-0.3590271503574321,-0.3590271503574321
2024-11-17,1.5,-0.3590271503574321,-0.3590271503574321
2024-11-18,1.125,-0.5692469949746127,-0.5692469949746127
2024-11-19,1.25,-0.4991737134355525,-0.4991737134355525
2024-11-20,1.0,-0.639320276513673,-0.639320276513673
2024-11-21,1.125,-0.5692469949746127,-0.5692469949746127
2024-11-24,2.0,-0.07873402420119126,-0.07873402420119126
2024-11-25,2.0,-0.07873402420119126,-0.07873402420119126
2024-11-26,1.125,-0.5692469949746127,-0.5692469949746127
2024-11-28,1.25,-0.4991737134355525,-0.4991737134355525
2024-12-01,2.125,-0.008660742662131042,-0.008660742662131042
2024-12-02,4.25,1.1825850435018925,1.1825850435018925
2024-12-03,4.375,1.2526583250409526,1.2526583250409526
2024-12-04,1.25,-0.4991737134355525,-0.4991737134355525
2024-12-05,3.25,0.6219987911894108,0.6219987911894108
2024-12-08,1.0,-0.639320276513673,-0.639320276513673
2024-12-10,1.5,-0.3590271503574321,-0.3590271503574321
2024-12-15,1.5,-0.3590271503574321,-0.3590271503574321
2024-12-16,1.0,-0.639320276513673,-0.639320276513673
2024-12-17,1.125,-0.5692469949746127,-0.5692469949746127
2024-12-18,2.0,-0.07873402420119126,-0.07873402420119126
2024-12-22,1.25,-0.4991737134355525,-0.4991737134355525
2024-12-23,0.75,-0.7794668395917933,-0.7794668395917933
2024-12-25,2.0,-0.07873402420119126,-0.07873402420119126
2024-12-26,1.125,-0.5692469949746127,-0.5692469949746127
2024-12-29,0.875,-0.7093935580527331,-0.7093935580527331
2024-12-30,1.25,-0.4991737134355525,-0.4991737134355525
2025-01-01,2.0,-0.07873402420119126,-0.07873402420119126
2025-01-02,1.125,-0.5692469949746127,-0.5692469949746127
2025-01-05,1.875,-0.14880730574025147,-0.14880730574025147
2025-01-06,1.5,-0.3590271503574321,-0.3590271503574321
2025-01-07,1.25,-0.4991737134355525,-0.4991737134355525
2025-01-08,1.75,-0.21888058727931167,-0.21888058727931167
2025-01-09,1.375,-0.4291004318964923,-0.4291004318964923
2025-01-12,2.625,0.2716323834941098,0.2716323834941098
2025-01-16,0.875,-0.7093935580527331,-0.7093935580527331
2025-01-19,1.25,-0.4991737134355525,-0.4991737134355525
2025-01-20,3.5,0.7621453542675313,0.7621453542675313
2025-01-21,1.5,-0.3590271503574321,-0.3590271503574321
2025-01-22,0.875,-0.7093935580527331,-0.7093935580527331
2025-01-23,2.25,0.061412538876929164,0.061412538876929164
2025-01-26,2.125,-0.008660742662131042,-0.008660742662131042
2025-01-27,1.875,-0.14880730574025147,-0.14880730574025147
2025-01-28,1.5,-0.3590271503574321,-0.3590271503574321
2025-01-29,1.125,-0.5692469949746127,-0.5692469949746127
2025-02-02,5.5,1.8833178588924946,1.8833178588924946
2025-02-03,1.125,-0.5692469949746127,-0.5692469949746127
2025-02-04,1.25,-0.4991737134355525,-0.4991737134355525
2025-02-05,1.125,-0.5692469949746127,-0.5692469949746127
2025-02-06,1.125,-0.5692469949746127,-0.5692469949746127
2025-02-09,1.625,-0.2889538688183719,-0.2889538688183719
2025-02-11,1.875,-0.14880730574025147,-0.14880730574025147
2025-02-16,1.5,-0.3590271503574321,-0.3590271503574321
2025-02-17,1.75,-0.21888058727931167,-0.21888058727931167
2025-02-18,1.0,-0.639320276513673,-0.639320276513673
2025-02-19,1.5,-0.3590271503574321,-0.3590271503574321
2025-02-20,1.75,-0.21888058727931167,-0.21888058727931167
2025-02-23,0.875,-0.7093935580527331,-0.7093935580527331
2025-02-24,2.375,0.13148582041598939,0.13148582041598939
2025-02-25,3.25,0.6219987911894108,0.6219987911894108
2025-02-26,4.25,1.1825850435018925,1.1825850435018925
2025-03-02,4.75,1.4628781696581334,1.4628781696581334
2025-03-03,7.5,3.004490363517458,3.004490363517458
2025-03-04,6.0,2.1636109850487353,2.1636109850487353
2025-03-05,6.0,2.1636109850487353,2.1636109850487353
2025-03-06,4.125,1.1125117619628322,1.1125117619628322
2025-03-09,5.25,1.7431712958143741,1.7431712958143741
2025-03-11,1.75,-0.21888058727931167,-0.21888058727931167
2025-03-16,4.25,1.1825850435018925,1.1825850435018925
2025-03-17,1.75,-0.21888058727931167,-0.21888058727931167
2025-03-18,0.25,-1.059759965748034,-1.059759965748034
