Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)"
count,73.0
mean,6.095890410958904
std,5.9667234251528605
min,2.5
10%,3.0
25%,4.0
50%,5.0
75%,6.5
95%,11.299999999999983
99%,27.680000000000035
max,50.0
skewness,5.9192263302812576
kurtosis,41.706114066147194
