Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZN)"
count,104.0
mean,4.365384615384615
std,2.283574494513815
min,0.5
10%,2.325
25%,3.0
50%,3.875
75%,5.25
95%,6.75
99%,15.372499999999995
max,16.0
skewness,2.76631935038057
kurtosis,11.339933078474962
