Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.7627645935117926,-0.7627645935117926
2024-10-16,0.6875007999999525,-0.6335610600794849,-0.6335610600794849
2024-10-17,0.6874992000000475,-0.633562162611534,-0.633562162611534
2024-10-18,0.5624992000000475,-0.7196974840557228,-0.7196974840557228
2024-10-21,1.25,-0.24595266484665967,-0.24595266484665967
2024-10-22,1.125,-0.3320879862908485,-0.3320879862908485
2024-10-23,0.75,-0.590493950623415,-0.590493950623415
2024-10-24,1.0625007999999525,-0.3751550957469184,-0.3751550957469184
2024-10-28,1.5,-0.07368202195828201,-0.07368202195828201
2024-10-29,1.25,-0.24595266484665967,-0.24595266484665967
2024-11-04,1.8124992000000475,0.14165573038616555,0.14165573038616555
2024-11-05,1.1874992000000475,-0.2890208768347786,-0.2890208768347786
2024-11-06,1.25,-0.24595266484665967,-0.24595266484665967
2024-11-07,2.125,0.35699458526266215,0.35699458526266215
2024-11-11,0.5,-0.7627645935117926,-0.7627645935117926
2024-11-15,2.625,0.7015358710394175,0.7015358710394175
2024-11-18,1.125,-0.3320879862908485,-0.3320879862908485
2024-11-19,0.75,-0.590493950623415,-0.590493950623415
2024-11-20,0.875,-0.5043586291792261,-0.5043586291792261
2024-11-21,1.8125007999999525,0.14165683291821457,0.14165683291821457
2024-11-25,1.25,-0.24595266484665967,-0.24595266484665967
2024-11-26,1.4375007999999525,-0.1167491314143519,-0.1167491314143519
2024-11-28,0.25,-0.9350352364001703,-0.9350352364001703
2024-11-29,4.1875,1.778227389091778,1.778227389091778
2024-12-02,4.375,1.9074303712580611,1.9074303712580611
2024-12-03,1.5,-0.07368202195828201,-0.07368202195828201
2024-12-04,1.8125,0.14165628165219007,0.14165628165219007
2024-12-05,3.0625,1.0030094960940783,1.0030094960940783
2024-12-10,1.25,-0.24595266484665967,-0.24595266484665967
2024-12-13,0.875,-0.5043586291792261,-0.5043586291792261
2024-12-16,1.1875,-0.28902032556875407,-0.28902032556875407
2024-12-17,0.4375,-0.805832254233887,-0.805832254233887
2024-12-18,4.8125,2.208903996312722,2.208903996312722
2024-12-23,0.625,-0.6766292720676038,-0.6766292720676038
2024-12-24,1.0,-0.41822330773503735,-0.41822330773503735
2024-12-26,1.25,-0.24595266484665967,-0.24595266484665967
2024-12-27,0.75,-0.590493950623415,-0.590493950623415
2024-12-30,0.5625,-0.7196969327896983,-0.7196969327896983
2024-12-31,1.5,-0.07368202195828201,-0.07368202195828201
2025-01-02,1.6875,0.055520960208001235,0.055520960208001235
2025-01-03,1.25,-0.24595266484665967,-0.24595266484665967
2025-01-06,1.0,-0.41822330773503735,-0.41822330773503735
2025-01-07,1.0625,-0.3751556470129429,-0.3751556470129429
2025-01-08,0.9375,-0.46129096845713174,-0.46129096845713174
2025-01-09,0.4375,-0.805832254233887,-0.805832254233887
2025-01-16,2.375,0.5292652281510398,0.5292652281510398
2025-01-17,1.0625,-0.3751556470129429,-0.3751556470129429
2025-01-20,0.5,-0.7627645935117926,-0.7627645935117926
2025-01-21,0.8125,-0.5474262899013206,-0.5474262899013206
2025-01-22,1.0625,-0.3751556470129429,-0.3751556470129429
2025-01-23,1.0,-0.41822330773503735,-0.41822330773503735
2025-01-27,1.3125,-0.20288500412456525,-0.20288500412456525
2025-01-28,0.75,-0.590493950623415,-0.590493950623415
2025-01-29,2.0,0.2708592638184733,0.2708592638184733
2025-02-03,1.5,-0.07368202195828201,-0.07368202195828201
2025-02-04,0.5,-0.7627645935117926,-0.7627645935117926
2025-02-05,0.375,-0.8488999149559815,-0.8488999149559815
2025-02-06,0.5625,-0.7196969327896983,-0.7196969327896983
2025-02-11,0.5625,-0.7196969327896983,-0.7196969327896983
2025-02-14,0.625,-0.6766292720676038,-0.6766292720676038
2025-02-17,0.1875,-0.9781028971222647,-0.9781028971222647
2025-02-18,0.75,-0.590493950623415,-0.590493950623415
2025-02-19,0.625,-0.6766292720676038,-0.6766292720676038
2025-02-20,0.5625,-0.7196969327896983,-0.7196969327896983
2025-02-24,1.0625,-0.3751556470129429,-0.3751556470129429
2025-02-25,1.125,-0.3320879862908485,-0.3320879862908485
2025-02-26,5.75,2.8549189071441385,2.8549189071441385
2025-03-03,5.4375,2.639580603533666,2.639580603533666
2025-03-04,6.6875,3.5009338179755547,3.5009338179755547
2025-03-05,5.4375,2.639580603533666,2.639580603533666
2025-03-06,5.0625,2.3811746392010997,2.3811746392010997
2025-03-11,5.25,2.510377621367383,2.510377621367383
2025-03-17,1.6875,0.055520960208001235,0.055520960208001235
2025-03-18,2.625,0.7015358710394175,0.7015358710394175
2025-03-19,4.5625,2.0366333534243446,2.0366333534243446
2025-03-20,1.0625,-0.3751556470129429,-0.3751556470129429
2025-03-21,1.1875,-0.28902032556875407,-0.28902032556875407
2025-03-24,0.75,-0.590493950623415,-0.590493950623415
2025-03-25,0.8125,-0.5474262899013206,-0.5474262899013206
2025-03-26,0.9375,-0.46129096845713174,-0.46129096845713174
2025-03-31,1.625,0.012453299485906821,0.012453299485906821
2025-04-01,1.0625,-0.3751556470129429,-0.3751556470129429
2025-04-02,2.1875,0.40006224598475654,0.40006224598475654
