Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.25,-0.5362242426413343,-0.5362242426413343
2024-10-16,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-10-17,0.4375007999999525,-0.35771539576137723,-0.35771539576137723
2024-10-18,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-10-21,0.375,-0.4172188524776641,-0.4172188524776641
2024-10-22,0.375,-0.4172188524776641,-0.4172188524776641
2024-10-23,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-10-24,0.5625007999999525,-0.23871000559770705,-0.23871000559770705
2024-10-28,0.5,-0.298213462313994,-0.298213462313994
2024-10-29,0.9374992000000475,0.1183046416243998,0.1183046416243998
2024-11-04,0.5625007999999525,-0.23871000559770705,-0.23871000559770705
2024-11-05,0.8124992000000475,-0.0007007485392703747,-0.0007007485392703747
2024-11-06,0.625,-0.1792080721503238,-0.1792080721503238
2024-11-07,0.9374992000000475,0.1183046416243998,0.1183046416243998
2024-11-11,0.5625007999999525,-0.23871000559770705,-0.23871000559770705
2024-11-15,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-11-18,0.375,-0.4172188524776641,-0.4172188524776641
2024-11-19,0.5,-0.298213462313994,-0.298213462313994
2024-11-20,0.5,-0.298213462313994,-0.298213462313994
2024-11-21,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-11-25,0.4374992000000475,-0.35771691903028086,-0.35771691903028086
2024-11-26,0.5,-0.298213462313994,-0.298213462313994
2024-12-02,3.5625,2.617418596695925,2.617418596695925
2024-12-03,0.5,-0.298213462313994,-0.298213462313994
2024-12-04,0.375,-0.4172188524776641,-0.4172188524776641
2024-12-05,2.5625,1.6653754753865637,1.6653754753865637
2024-12-10,1.1875,0.35631618358619194,0.35631618358619194
2024-12-13,0.375,-0.4172188524776641,-0.4172188524776641
2024-12-16,0.5,-0.298213462313994,-0.298213462313994
2024-12-17,0.375,-0.4172188524776641,-0.4172188524776641
2024-12-18,1.0,0.1778080983406867,0.1778080983406867
2024-12-23,0.375,-0.4172188524776641,-0.4172188524776641
2024-12-26,0.25,-0.5362242426413343,-0.5362242426413343
2024-12-27,0.375,-0.4172188524776641,-0.4172188524776641
2024-12-30,0.5,-0.298213462313994,-0.298213462313994
2024-12-31,0.25,-0.5362242426413343,-0.5362242426413343
2025-01-02,0.3125,-0.4767215475594992,-0.4767215475594992
2025-01-03,0.25,-0.5362242426413343,-0.5362242426413343
2025-01-06,0.5625,-0.23871076723215887,-0.23871076723215887
2025-01-07,0.375,-0.4172188524776641,-0.4172188524776641
2025-01-08,0.625,-0.1792080721503238,-0.1792080721503238
2025-01-16,0.3125,-0.4767215475594992,-0.4767215475594992
2025-01-17,0.625,-0.1792080721503238,-0.1792080721503238
2025-01-21,0.5625,-0.23871076723215887,-0.23871076723215887
2025-01-22,0.4375,-0.35771615739582907,-0.35771615739582907
2025-01-23,0.3125,-0.4767215475594992,-0.4767215475594992
2025-01-27,0.4375,-0.35771615739582907,-0.35771615739582907
2025-01-28,0.5,-0.298213462313994,-0.298213462313994
2025-01-29,0.6875,-0.11970537706848872,-0.11970537706848872
2025-02-03,0.5625,-0.23871076723215887,-0.23871076723215887
2025-02-04,0.375,-0.4172188524776641,-0.4172188524776641
2025-02-05,0.375,-0.4172188524776641,-0.4172188524776641
2025-02-06,0.25,-0.5362242426413343,-0.5362242426413343
2025-02-11,0.1875,-0.5957269377231694,-0.5957269377231694
2025-02-14,0.25,-0.5362242426413343,-0.5362242426413343
2025-02-18,0.4375,-0.35771615739582907,-0.35771615739582907
2025-02-19,0.3125,-0.4767215475594992,-0.4767215475594992
2025-02-20,0.3125,-0.4767215475594992,-0.4767215475594992
2025-02-24,0.375,-0.4172188524776641,-0.4172188524776641
2025-02-25,0.3125,-0.4767215475594992,-0.4767215475594992
2025-02-26,4.4375,3.450456327841616,3.450456327841616
2025-03-03,5.25,4.223991363905473,4.223991363905473
2025-03-04,6.0,4.9380237048874935,4.9380237048874935
2025-03-05,0.9375,0.11830540325885162,0.11830540325885162
2025-03-06,0.375,-0.4172188524776641,-0.4172188524776641
2025-03-11,0.75,-0.06020268198665363,-0.06020268198665363
2025-03-17,0.5,-0.298213462313994,-0.298213462313994
2025-03-18,0.3125,-0.4767215475594992,-0.4767215475594992
2025-03-19,0.6875,-0.11970537706848872,-0.11970537706848872
2025-03-20,0.4375,-0.35771615739582907,-0.35771615739582907
2025-03-21,0.4375,-0.35771615739582907,-0.35771615739582907
2025-03-24,0.3125,-0.4767215475594992,-0.4767215475594992
2025-03-25,0.625,-0.1792080721503238,-0.1792080721503238
2025-03-26,0.5,-0.298213462313994,-0.298213462313994
2025-03-31,0.875,0.05880270817701654,0.05880270817701654
2025-04-01,0.75,-0.06020268198665363,-0.06020268198665363
2025-04-02,0.6875,-0.11970537706848872,-0.11970537706848872
2025-04-03,1.375,0.5348242688316972,0.5348242688316972
2025-04-07,2.6875,1.7843808655502338,1.7843808655502338
2025-04-08,2.6875,1.7843808655502338,1.7843808655502338
2025-04-09,2.875,1.9628889507957392,1.9628889507957392
2025-04-15,0.8125,-0.0006999869048185441,-0.0006999869048185441
2025-04-16,0.5625,-0.23871076723215887,-0.23871076723215887
2025-04-17,0.6875,-0.11970537706848872,-0.11970537706848872
2025-04-21,0.1875,-0.5957269377231694,-0.5957269377231694
