Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)"
count,388.0
mean,5.108891752577319
std,2.8564206760719775
min,1.0
10%,2.5
25%,3.25
50%,4.25
75%,6.25
95%,10.5
99%,12.532499999999999
max,30.0
skewness,2.5176431466570013
kurtosis,14.805657016305924
