Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,6.0,0.18314100642957734,0.18314100642957734
2024-10-01,6.5,0.35343001240795613,0.35343001240795613
2024-10-02,2.0,-1.179171041397453,-1.179171041397453
2024-10-03,4.25,-0.41287051449474843,-0.41287051449474843
2024-10-07,2.5,-1.0088820354190742,-1.0088820354190742
2024-10-08,4.25,-0.41287051449474843,-0.41287051449474843
2024-10-09,1.75,-1.2643155443866423,-1.2643155443866423
2024-10-14,2.75,-0.9237375324298848,-0.9237375324298848
2024-10-16,3.0,-0.8385930294406954,-0.8385930294406954
2024-10-17,1.75,-1.2643155443866423,-1.2643155443866423
2024-10-18,2.0,-1.179171041397453,-1.179171041397453
2024-10-21,4.5,-0.327726011505559,-0.327726011505559
2024-10-22,3.0,-0.8385930294406954,-0.8385930294406954
2024-10-23,3.5,-0.6683040234623167,-0.6683040234623167
2024-10-24,5.0,-0.15743700552718023,-0.15743700552718023
2024-10-28,5.75,0.09799650344038795,0.09799650344038795
2024-10-29,6.75,0.43857451539714554,0.43857451539714554
2024-11-04,7.25,0.6088635213755244,0.6088635213755244
2024-11-05,7.75,0.7791525273539031,0.7791525273539031
2024-11-06,6.75,0.43857451539714554,0.43857451539714554
2024-11-07,5.5,0.012852000451198548,0.012852000451198548
2024-11-11,2.0,-1.179171041397453,-1.179171041397453
2024-11-15,10.5,1.7157420602349864,1.7157420602349864
2024-11-18,5.5,0.012852000451198548,0.012852000451198548
2024-11-19,3.0,-0.8385930294406954,-0.8385930294406954
2024-11-20,2.75,-0.9237375324298848,-0.9237375324298848
2024-11-21,7.0,0.523719018386335,0.523719018386335
2024-11-25,5.25,-0.07229250253799084,-0.07229250253799084
2024-11-26,2.75,-0.9237375324298848,-0.9237375324298848
2024-11-28,4.5,-0.327726011505559,-0.327726011505559
2024-11-29,5.75,0.09799650344038795,0.09799650344038795
2024-12-02,8.75,1.1197305393106607,1.1197305393106607
2024-12-03,6.25,0.2682855094187667,0.2682855094187667
2024-12-04,6.5,0.35343001240795613,0.35343001240795613
2024-12-05,6.5,0.35343001240795613,0.35343001240795613
2024-12-10,5.5,0.012852000451198548,0.012852000451198548
2024-12-13,4.5,-0.327726011505559,-0.327726011505559
2024-12-16,3.5,-0.6683040234623167,-0.6683040234623167
2024-12-17,2.25,-1.0940265384082635,-1.0940265384082635
2024-12-18,15.5,3.418632120018774,3.418632120018774
2024-12-23,4.75,-0.24258150851636964,-0.24258150851636964
2024-12-24,4.5,-0.327726011505559,-0.327726011505559
2024-12-26,7.25,0.6088635213755244,0.6088635213755244
2024-12-27,5.0,-0.15743700552718023,-0.15743700552718023
2024-12-30,2.75,-0.9237375324298848,-0.9237375324298848
2024-12-31,6.75,0.43857451539714554,0.43857451539714554
2025-01-02,7.5,0.6940080243647136,0.6940080243647136
2025-01-03,4.0,-0.49801501748393784,-0.49801501748393784
2025-01-06,4.5,-0.327726011505559,-0.327726011505559
2025-01-07,3.75,-0.5831595204731272,-0.5831595204731272
2025-01-08,3.0,-0.8385930294406954,-0.8385930294406954
2025-01-09,2.5,-1.0088820354190742,-1.0088820354190742
2025-01-16,10.0,1.5454530542566076,1.5454530542566076
2025-01-17,3.75,-0.5831595204731272,-0.5831595204731272
2025-01-20,2.75,-0.9237375324298848,-0.9237375324298848
2025-01-21,3.25,-0.753448526451506,-0.753448526451506
2025-01-22,5.5,0.012852000451198548,0.012852000451198548
2025-01-23,3.25,-0.753448526451506,-0.753448526451506
2025-01-27,4.5,-0.327726011505559,-0.327726011505559
2025-01-28,4.0,-0.49801501748393784,-0.49801501748393784
2025-01-29,8.75,1.1197305393106607,1.1197305393106607
2025-02-03,6.25,0.2682855094187667,0.2682855094187667
2025-02-04,3.25,-0.753448526451506,-0.753448526451506
2025-02-05,3.5,-0.6683040234623167,-0.6683040234623167
2025-02-06,4.25,-0.41287051449474843,-0.41287051449474843
2025-02-11,2.5,-1.0088820354190742,-1.0088820354190742
2025-02-14,3.25,-0.753448526451506,-0.753448526451506
2025-02-17,1.0,-1.5197490533542106,-1.5197490533542106
2025-02-18,4.0,-0.49801501748393784,-0.49801501748393784
2025-02-19,3.25,-0.753448526451506,-0.753448526451506
2025-02-20,1.75,-1.2643155443866423,-1.2643155443866423
2025-02-24,3.5,-0.6683040234623167,-0.6683040234623167
2025-02-25,4.0,-0.49801501748393784,-0.49801501748393784
2025-02-26,8.75,1.1197305393106607,1.1197305393106607
2025-03-03,4.75,-0.24258150851636964,-0.24258150851636964
2025-03-04,13.25,2.65233159311607,2.65233159311607
2025-03-05,7.0,0.523719018386335,0.523719018386335
2025-03-06,7.5,0.6940080243647136,0.6940080243647136
2025-03-11,12.0,2.2266090781701227,2.2266090781701227
2025-03-17,6.5,0.35343001240795613,0.35343001240795613
2025-03-18,5.5,0.012852000451198548,0.012852000451198548
2025-03-19,8.75,1.1197305393106607,1.1197305393106607
2025-03-20,6.0,0.18314100642957734,0.18314100642957734
2025-03-21,5.0,-0.15743700552718023,-0.15743700552718023
2025-03-24,2.5,-1.0088820354190742,-1.0088820354190742
2025-03-25,3.75,-0.5831595204731272,-0.5831595204731272
2025-03-26,3.5,-0.6683040234623167,-0.6683040234623167
2025-03-31,5.75,0.09799650344038795,0.09799650344038795
2025-04-01,4.0,-0.49801501748393784,-0.49801501748393784
2025-04-02,10.25,1.6305975572457971,1.6305975572457971
2025-04-03,6.25,0.2682855094187667,0.2682855094187667
2025-04-07,15.75,3.5037766230079637,3.5037766230079637
2025-04-08,12.0,2.2266090781701227,2.2266090781701227
2025-04-09,14.25,2.9929096050728274,2.9929096050728274
2025-04-15,7.5,0.6940080243647136,0.6940080243647136
2025-04-16,8.75,1.1197305393106607,1.1197305393106607
2025-04-17,5.75,0.09799650344038795,0.09799650344038795
2025-04-21,7.75,0.7791525273539031,0.7791525273539031
2025-04-22,3.75,-0.5831595204731272,-0.5831595204731272
2025-04-23,9.25,1.2900195452890395,1.2900195452890395
2025-04-24,4.0,-0.49801501748393784,-0.49801501748393784
2025-04-28,6.75,0.43857451539714554,0.43857451539714554
2025-04-29,3.5,-0.6683040234623167,-0.6683040234623167
2025-05-01,6.25,0.2682855094187667,0.2682855094187667
2025-05-05,4.0,-0.49801501748393784,-0.49801501748393784
2025-05-06,5.5,0.012852000451198548,0.012852000451198548
