Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.4789098341988154,-0.4789098341988154
2024-10-16,8.0,-0.06495105852309768,-0.06495105852309768
2024-10-17,4.5,-1.0308548684331056,-1.0308548684331056
2024-10-18,7.5,-0.20293731708167023,-0.20293731708167023
2024-10-21,12.5,1.1769252685040554,1.1769252685040554
2024-10-22,6.0,-0.6168960927573879,-0.6168960927573879
2024-10-23,4.5,-1.0308548684331056,-1.0308548684331056
2024-10-24,9.0,0.21102145859404745,0.21102145859404745
2024-10-28,9.0,0.21102145859404745,0.21102145859404745
2024-10-29,12.0,1.0389390099454827,1.0389390099454827
2024-11-04,9.5,0.34900771715262,0.34900771715262
2024-11-05,7.5,-0.20293731708167023,-0.20293731708167023
2024-11-06,26.5,5.040540508144087,5.040540508144087
2024-11-07,14.5,1.7288703027383456,1.7288703027383456
2024-11-11,6.5,-0.4789098341988154,-0.4789098341988154
2024-11-15,9.5,0.34900771715262,0.34900771715262
2024-11-18,10.0,0.4869939757111926,0.4869939757111926
2024-11-19,14.0,1.5908840441797731,1.5908840441797731
2024-11-20,7.0,-0.3409235756402428,-0.3409235756402428
2024-11-21,8.0,-0.06495105852309768,-0.06495105852309768
2024-11-25,7.5,-0.20293731708167023,-0.20293731708167023
2024-11-26,5.5,-0.7548823513159605,-0.7548823513159605
2024-11-28,6.0,-0.6168960927573879,-0.6168960927573879
2024-11-29,9.5,0.34900771715262,0.34900771715262
2024-12-02,10.0,0.4869939757111926,0.4869939757111926
2024-12-03,8.0,-0.06495105852309768,-0.06495105852309768
2024-12-04,7.0,-0.3409235756402428,-0.3409235756402428
2024-12-05,9.0,0.21102145859404745,0.21102145859404745
2024-12-10,11.5,0.9009527513869102,0.9009527513869102
2024-12-13,6.5,-0.4789098341988154,-0.4789098341988154
2024-12-16,4.0,-1.168841126991678,-1.168841126991678
2024-12-17,7.5,-0.20293731708167023,-0.20293731708167023
2024-12-18,7.0,-0.3409235756402428,-0.3409235756402428
2024-12-23,5.5,-0.7548823513159605,-0.7548823513159605
2024-12-26,4.0,-1.168841126991678,-1.168841126991678
2024-12-27,12.0,1.0389390099454827,1.0389390099454827
2024-12-30,5.5,-0.7548823513159605,-0.7548823513159605
2024-12-31,5.5,-0.7548823513159605,-0.7548823513159605
2025-01-02,12.5,1.1769252685040554,1.1769252685040554
2025-01-03,5.5,-0.7548823513159605,-0.7548823513159605
2025-01-06,10.0,0.4869939757111926,0.4869939757111926
2025-01-07,9.5,0.34900771715262,0.34900771715262
2025-01-08,8.5,0.07303520003547488,0.07303520003547488
2025-01-09,6.0,-0.6168960927573879,-0.6168960927573879
2025-01-16,6.0,-0.6168960927573879,-0.6168960927573879
2025-01-17,7.0,-0.3409235756402428,-0.3409235756402428
2025-01-20,6.0,-0.6168960927573879,-0.6168960927573879
2025-01-21,10.5,0.6249802342697651,0.6249802342697651
2025-01-22,7.5,-0.20293731708167023,-0.20293731708167023
2025-01-23,10.0,0.4869939757111926,0.4869939757111926
2025-01-27,18.0,2.6947741126483535,2.6947741126483535
2025-01-28,6.5,-0.4789098341988154,-0.4789098341988154
2025-01-29,5.0,-0.8928686098745331,-0.8928686098745331
2025-02-03,10.0,0.4869939757111926,0.4869939757111926
2025-02-04,9.5,0.34900771715262,0.34900771715262
2025-02-05,9.0,0.21102145859404745,0.21102145859404745
2025-02-06,6.004028320312273,-0.615784387061056,-0.615784387061056
2025-02-11,8.5,0.07303520003547488,0.07303520003547488
2025-02-14,5.5,-0.7548823513159605,-0.7548823513159605
2025-02-17,4.0,-1.168841126991678,-1.168841126991678
2025-02-18,3.5,-1.3068273855502508,-1.3068273855502508
2025-02-19,7.0,-0.3409235756402428,-0.3409235756402428
2025-02-20,6.0,-0.6168960927573879,-0.6168960927573879
2025-02-24,6.5,-0.4789098341988154,-0.4789098341988154
2025-02-25,11.0,0.7629664928283377,0.7629664928283377
2025-02-26,8.5,0.07303520003547488,0.07303520003547488
2025-03-03,10.5,0.6249802342697651,0.6249802342697651
2025-03-04,2.0,-1.7207861612259685,-1.7207861612259685
