Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)"
count,96.0
mean,2.21356201171875
std,2.0583378134301493
min,0.5
10%,0.75
25%,1.0
50%,1.5
75%,2.5
95%,5.3125
99%,11.524999999999999
max,12.0
skewness,3.0827050874710595
kurtosis,10.750440791233604
