Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,-0.3306963691636128,-0.3306963691636128
2024-11-05,8.0,0.8554971289232596,0.8554971289232596
2024-11-06,6.25,0.1635509217059174,0.1635509217059174
2024-11-07,12.25,2.535937917879662,2.535937917879662
2024-11-11,5.75,-0.034147994641894656,-0.034147994641894656
2024-11-15,10.25,1.745142252488414,1.745142252488414
2024-11-18,5.75,-0.034147994641894656,-0.034147994641894656
2024-11-19,5.5,-0.1329974528158007,-0.1329974528158007
2024-11-20,5.5,-0.1329974528158007,-0.1329974528158007
2024-11-21,5.75,-0.034147994641894656,-0.034147994641894656
2024-11-25,9.75,1.547443336140602,1.547443336140602
2024-11-26,5.5,-0.1329974528158007,-0.1329974528158007
2024-11-29,5.25,-0.23184691098970672,-0.23184691098970672
2024-12-02,11.25,2.140540085184038,2.140540085184038
2024-12-03,9.0,1.2508949616188838,1.2508949616188838
2024-12-04,12.0,2.4370884597057563,2.4370884597057563
2024-12-05,6.0,0.06470146353201138,0.06470146353201138
2024-12-10,6.5,0.26240037987982345,0.26240037987982345
2024-12-13,6.0,0.06470146353201138,0.06470146353201138
2024-12-16,5.5,-0.1329974528158007,-0.1329974528158007
2024-12-17,7.25,0.5589487544015416,0.5589487544015416
2024-12-18,5.5,-0.1329974528158007,-0.1329974528158007
2024-12-23,4.5,-0.5283952855114248,-0.5283952855114248
2024-12-24,2.0,-1.5168898672504851,-1.5168898672504851
2024-12-26,3.5,-0.9237931182070489,-0.9237931182070489
2024-12-27,4.75,-0.4295458273375188,-0.4295458273375188
2024-12-30,7.5,0.6577982125754476,0.6577982125754476
2024-12-31,6.0,0.06470146353201138,0.06470146353201138
2025-01-02,8.0,0.8554971289232596,0.8554971289232596
2025-01-03,5.0,-0.3306963691636128,-0.3306963691636128
2025-01-06,7.5,0.6577982125754476,0.6577982125754476
2025-01-07,8.0,0.8554971289232596,0.8554971289232596
2025-01-08,6.25,0.1635509217059174,0.1635509217059174
2025-01-09,4.0,-0.7260942018592369,-0.7260942018592369
2025-01-16,10.75,1.942841168836226,1.942841168836226
2025-01-17,6.5,0.26240037987982345,0.26240037987982345
2025-01-20,8.0,0.8554971289232596,0.8554971289232596
2025-01-21,4.0,-0.7260942018592369,-0.7260942018592369
2025-01-22,5.5,-0.1329974528158007,-0.1329974528158007
2025-01-23,4.75,-0.4295458273375188,-0.4295458273375188
2025-01-27,7.75,0.7566476707493536,0.7566476707493536
2025-01-28,4.25,-0.6272447436853309,-0.6272447436853309
2025-01-29,5.25,-0.23184691098970672,-0.23184691098970672
2025-02-03,5.25,-0.23184691098970672,-0.23184691098970672
2025-02-04,4.5,-0.5283952855114248,-0.5283952855114248
2025-02-05,4.5,-0.5283952855114248,-0.5283952855114248
2025-02-06,2.75,-1.220341492728767,-1.220341492728767
2025-02-07,3.25,-1.022642576380955,-1.022642576380955
2025-02-10,3.0,-1.121492034554861,-1.121492034554861
2025-02-11,3.5,-0.9237931182070489,-0.9237931182070489
2025-02-14,2.75,-1.220341492728767,-1.220341492728767
2025-02-17,2.0,-1.5168898672504851,-1.5168898672504851
2025-02-18,1.75,-1.6157393254243912,-1.6157393254243912
2025-02-19,2.5,-1.3191909509026731,-1.3191909509026731
2025-02-20,2.0,-1.5168898672504851,-1.5168898672504851
