Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,2.0,-0.520290969794959,-0.520290969794959
2025-03-31,1.875,-0.5939687002073639,-0.5939687002073639
2025-04-01,2.75,-0.07822458732052984,-0.07822458732052984
2025-04-02,4.25,0.8059081776283287,0.8059081776283287
2025-04-03,4.25,0.8059081776283287,0.8059081776283287
2025-04-07,11.625,5.152894271960216,5.152894271960216
2025-04-08,4.375,0.8795859080407334,0.8795859080407334
2025-04-09,8.0,3.016240090000475,3.016240090000475
2025-04-15,3.375,0.29016406474149453,0.29016406474149453
2025-04-16,3.25,0.21648633432908965,0.21648633432908965
2025-04-17,2.125,-0.4466132393825542,-0.4466132393825542
2025-04-21,2.75,-0.07822458732052984,-0.07822458732052984
2025-04-22,2.875,-0.004546856908124969,-0.004546856908124969
2025-04-23,2.875,-0.004546856908124969,-0.004546856908124969
2025-04-24,1.875,-0.5939687002073639,-0.5939687002073639
2025-04-28,2.875,-0.004546856908124969,-0.004546856908124969
2025-04-29,2.0,-0.520290969794959,-0.520290969794959
2025-05-01,3.0,0.0691308735042799,0.0691308735042799
2025-05-05,1.375,-0.8886796218569835,-0.8886796218569835
2025-05-06,2.375,-0.29925777855774444,-0.29925777855774444
