Volatility of Returns Statistic,"(Session:All day, Interval:1h, Symbol:ZN)"
count,509.0
mean,8.937662120886543
std,5.223825303533134
min,1.25
10%,3.0
25%,5.5
50%,8.0
75%,11.25
95%,17.89999999999999
99%,27.15000000000002
max,38.25
skewness,1.4508323193771864
kurtosis,3.962674816576436
