Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)"
count,369.0
mean,2.5589702161670043
std,1.7942847240335942
min,0.5
10%,1.25
25%,1.5
50%,2.0
75%,2.75
95%,6.499999999999957
99%,10.079999999999998
max,11.5
skewness,2.6183494986293243
kurtosis,7.680763668027051
