Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)"
count,79.0
mean,1.6408475079113924
std,1.3014077770003931
min,0.375
10%,0.75
25%,0.9375
50%,1.125
75%,1.9375
95%,3.875
99%,6.564999999999998
max,8.125
skewness,2.6158970497940106
kurtosis,8.572322762376118
