Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:FGBL)"
count,3328.0
mean,79.1298076923077
std,43.71251384064966
min,16.99999999999875
10%,39.699999999998894
25%,50.99999999999909
50%,68.00000000000068
75%,94.99999999999886
95%,161.99999999999946
99%,236.000000000001
max,469.0000000000026
skewness,2.292618111865003
kurtosis,8.774666819987099
