Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)"
count,89.0
mean,4.235955056179775
std,2.582821184419156
min,1.25
10%,2.0
25%,2.5
50%,3.5
75%,5.0
95%,9.499999999999986
99%,13.960000000000008
max,15.5
skewness,2.3025109276581492
kurtosis,6.548383932152026
