Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.0676431995780646,-1.0676431995780646
2024-10-16,1.75,-0.8228664660162645,-0.8228664660162645
2024-10-17,1.125,-1.0676431995780646,-1.0676431995780646
2024-10-18,1.125,-1.0676431995780646,-1.0676431995780646
2024-10-21,2.875,-0.3822683456050241,-0.3822683456050241
2024-10-22,2.25,-0.6270450791668243,-0.6270450791668243
2024-10-23,1.75,-0.8228664660162645,-0.8228664660162645
2024-10-24,3.0,-0.3333129988926641,-0.3333129988926641
2024-10-28,3.75,-0.039580918618503824,-0.039580918618503824
2024-10-29,3.75,-0.039580918618503824,-0.039580918618503824
2024-11-04,4.75,0.3520618550803765,0.3520618550803765
2024-11-05,4.375,0.2051958149432964,0.2051958149432964
2024-11-06,4.125,0.1072851215185763,0.1072851215185763
2024-11-07,4.5,0.25415116165565643,0.25415116165565643
2024-11-11,1.25,-1.0186878528657046,-1.0186878528657046
2024-11-15,6.875,1.1843027491904972,1.1843027491904972
2024-11-18,3.25,-0.23540230546794397,-0.23540230546794397
2024-11-19,2.0,-0.7249557725915444,-0.7249557725915444
2024-11-20,1.75,-0.8228664660162645,-0.8228664660162645
2024-11-21,4.625,0.30310650836801645,0.30310650836801645
2024-11-25,3.375,-0.18644695875558395,-0.18644695875558395
2024-11-26,2.125,-0.6760004258791843,-0.6760004258791843
2024-11-28,0.625,-1.263464586427505,-1.263464586427505
2024-11-29,5.375,0.5968385886421766,0.5968385886421766
2024-12-02,6.875,1.1843027491904972,1.1843027491904972
2024-12-03,5.625,0.6947492820668968,0.6947492820668968
2024-12-04,4.0,0.05832977480621626,0.05832977480621626
2024-12-05,5.25,0.5478832419298166,0.5478832419298166
2024-12-10,4.625,0.30310650836801645,0.30310650836801645
2024-12-13,3.25,-0.23540230546794397,-0.23540230546794397
2024-12-16,2.0,-0.7249557725915444,-0.7249557725915444
2024-12-17,1.375,-0.9697325061533446,-0.9697325061533446
2024-12-18,10.625,2.6529631505612983,2.6529631505612983
2024-12-23,2.375,-0.5780897324544643,-0.5780897324544643
2024-12-24,2.75,-0.43122369231738417,-0.43122369231738417
2024-12-26,4.0,0.05832977480621626,0.05832977480621626
2024-12-27,2.875,-0.3822683456050241,-0.3822683456050241
2024-12-30,1.75,-0.8228664660162645,-0.8228664660162645
2024-12-31,3.875,0.009374428093856219,0.009374428093856219
2025-01-02,4.625,0.30310650836801645,0.30310650836801645
2025-01-03,2.625,-0.4801790390297442,-0.4801790390297442
2025-01-06,2.5,-0.5291343857421043,-0.5291343857421043
2025-01-07,2.5,-0.5291343857421043,-0.5291343857421043
2025-01-08,2.0,-0.7249557725915444,-0.7249557725915444
2025-01-09,1.5,-0.9207771594409845,-0.9207771594409845
2025-01-16,6.25,0.939526015628697,0.939526015628697
